gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedMedia	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
1052607199																										1167206										http://creativecommons.org/licenses/by-nc/4.0/			2019-01-23T16:47:26Z			https://www.inaturalist.org/observations/1167206				© ehfrandahl some rights reserved	ehfrandahl												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/1167206	1167206		ehfrandahl								wild																					2014-12-28							2014-12-28																KE	Taita Taveta				Tsavo East, Voi, KE-TT, KE											-3.364002	38.78294		530																																			2131416				2015-01-08T18:46:12Z				42278								Aepyceros melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				species							
1052590539																										1124717										http://creativecommons.org/licenses/by-nc/4.0/			2019-01-23T16:47:32Z			https://www.inaturalist.org/observations/1124717				© Celesta some rights reserved	Celesta												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/1124717	1124717		Celesta								wild																					2014-11-23T09:15:53+02:00	07:15:53Z						2014-11-23 09:15:53																MZ	Sofala				TCT Dalmann Catapu, Mozambique											-18.067388	35.194235																																					2024418				2014-12-10T18:02:25Z				42278								Aepyceros melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				species							
1042817510																										1068331										http://creativecommons.org/licenses/by-nc/4.0/			2019-01-23T16:47:37Z			https://www.inaturalist.org/observations/1068331				© Tim Guida some rights reserved	Tim Guida												iNaturalist	Observations	iNaturalist research-grade observations		HumanObservation				http://www.inaturalist.org/observations/1068331	1068331		Tim Guida								wild																					2010-03-02T00:44:27-05:00	05:44:27Z						2010-03-02 00:44:27																UG	Mbarara				Lake Mburo											-0.596775	31.010573		13003																																			1907513				2014-11-11T12:34:15Z				42278								Aepyceros melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros				species							
1041032411		Instituto de Investigação Científica Tropical																								3df1c7a0-f4bc-4ffe-bb71-e89e52f288c4									pt				2014-11-19							http://creativecommons.org/licenses/by-nc/3.0/								Occurrence			c8f0799b-aeb9-4ecc-868e-6b92acefe90d		IICT	MammalsAngola			Occurrence		Coordinates obtained as the central point of a grid with 15 minutes		3df1c7a0-f4bc-4ffe-bb71-e89e52f288c4	3011															Crawford-Cabral J, Veríssimo LN (2005) The ungulate fauna of Angola. Systematic list, distribution maps, database report. Estudos Ensaios e Documentos, 163. Instituto de Investigação Científica Tropical. Lisboa.																																		Africa				Angola	AO	Namibe			Tchibolombonga												-17.04769	12.81966	WGS84	27500	0.15					decimal degrees	WGS84	POLYGON ((12.75 -17, 13 -17, 13 -17.25, 12.75 -17.25, 12.75 -17))	WGS84	1																																									Aepyceros melampus petersi							Animalia; Chordata; Mammalia; Artiodactyla; Antilopinae; Aepyceros; Aepyceros melampus	Animalia	Chordata	Mammalia	Artiodactyla	Antilopinae	Aepyceros		melampus	petersi	subspecies		Bocage, 1879					
1041032392		Instituto de Investigação Científica Tropical																								18fe4abf-291e-4dfa-8359-0aa9cc97c58e									pt				2014-11-19							http://creativecommons.org/licenses/by-nc/3.0/								Occurrence			c8f0799b-aeb9-4ecc-868e-6b92acefe90d		IICT	MammalsAngola			Occurrence		Coordinates obtained as the central point of a grid with 15 minutes		18fe4abf-291e-4dfa-8359-0aa9cc97c58e	3006															Crawford-Cabral J, Veríssimo LN (2005) The ungulate fauna of Angola. Systematic list, distribution maps, database report. Estudos Ensaios e Documentos, 163. Instituto de Investigação Científica Tropical. Lisboa.																																		Africa				Angola	AO	Cunene			Ruacana muito comum  dacada de 50												-17.34017	14.125	WGS84	27500	0.15					decimal degrees	WGS84	POLYGON ((14 -17.25, 14.25 -17.25, 14.25 -17.5, 14 -17.5, 14 -17.25))	WGS84	1																																									Aepyceros melampus petersi							Animalia; Chordata; Mammalia; Artiodactyla; Antilopinae; Aepyceros; Aepyceros melampus	Animalia	Chordata	Mammalia	Artiodactyla	Antilopinae	Aepyceros		melampus	petersi	subspecies		Bocage, 1879					
1041032391		Instituto de Investigação Científica Tropical																								dd3b271b-8882-415d-a6c6-dae6ebbb0c96									pt				2014-11-19							http://creativecommons.org/licenses/by-nc/3.0/								Occurrence			c8f0799b-aeb9-4ecc-868e-6b92acefe90d		IICT	MammalsAngola			Occurrence		Coordinates obtained as the central point of a grid with 15 minutes		dd3b271b-8882-415d-a6c6-dae6ebbb0c96	2986															Crawford-Cabral J, Veríssimo LN (2005) The ungulate fauna of Angola. Systematic list, distribution maps, database report. Estudos Ensaios e Documentos, 163. Instituto de Investigação Científica Tropical. Lisboa.																																		Africa				Angola	AO	Namibe			Omumborombongos												-17.1051	12.61268	WGS84	27500	0.15					decimal degrees	WGS84	POLYGON ((12.5 -17, 12.75 -17, 12.75 -17.25, 12.5 -17.25, 12.5 -17))	WGS84	1																																									Aepyceros melampus petersi							Animalia; Chordata; Mammalia; Artiodactyla; Antilopinae; Aepyceros; Aepyceros melampus	Animalia	Chordata	Mammalia	Artiodactyla	Antilopinae	Aepyceros		melampus	petersi	subspecies		Bocage, 1879					
1041032377		Instituto de Investigação Científica Tropical																								32d5b830-56c9-4749-b4d9-fbcd41e790ec									pt				2014-11-19							http://creativecommons.org/licenses/by-nc/3.0/								Occurrence			c8f0799b-aeb9-4ecc-868e-6b92acefe90d		IICT	MammalsAngola			Occurrence		Coordinates obtained as the central point of a grid with 15 minutes		32d5b830-56c9-4749-b4d9-fbcd41e790ec	2999															Crawford-Cabral J, Veríssimo LN (2005) The ungulate fauna of Angola. Systematic list, distribution maps, database report. Estudos Ensaios e Documentos, 163. Instituto de Investigação Científica Tropical. Lisboa.																																		Africa				Angola	AO	Namibe			R Munhino												-14.875	12.875	WGS84	27500	0.15					decimal degrees	WGS84	POLYGON ((12.75 -14.75, 13 -14.75, 13 -15, 12.75 -15, 12.75 -14.75))	WGS84	1																																									Aepyceros melampus petersi							Animalia; Chordata; Mammalia; Artiodactyla; Antilopinae; Aepyceros; Aepyceros melampus	Animalia	Chordata	Mammalia	Artiodactyla	Antilopinae	Aepyceros		melampus	petersi	subspecies		Bocage, 1879					
1041032372		Instituto de Investigação Científica Tropical																								3a386a4a-f8c8-490c-9818-bd0b9951577a									pt				2014-11-19							http://creativecommons.org/licenses/by-nc/3.0/								Occurrence			c8f0799b-aeb9-4ecc-868e-6b92acefe90d		IICT	MammalsAngola			Occurrence		Coordinates obtained as the central point of a grid with 15 minutes		3a386a4a-f8c8-490c-9818-bd0b9951577a	2991															Crawford-Cabral J, Veríssimo LN (2005) The ungulate fauna of Angola. Systematic list, distribution maps, database report. Estudos Ensaios e Documentos, 163. Instituto de Investigação Científica Tropical. Lisboa.																																		Africa				Angola	AO	Namibe			Pupa  comum  decada de 50												-15.125	12.875	WGS84	27500	0.15					decimal degrees	WGS84	POLYGON ((12.75 -15, 13 -15, 13 -15.25, 12.75 -15.25, 12.75 -15))	WGS84	1																																									Aepyceros melampus petersi							Animalia; Chordata; Mammalia; Artiodactyla; Antilopinae; Aepyceros; Aepyceros melampus	Animalia	Chordata	Mammalia	Artiodactyla	Antilopinae	Aepyceros		melampus	petersi	subspecies		Bocage, 1879					
1041032371		Instituto de Investigação Científica Tropical																								efb1e493-cc8d-4838-bfe2-871c128e59a6									pt				2014-11-19							http://creativecommons.org/licenses/by-nc/3.0/								Occurrence			c8f0799b-aeb9-4ecc-868e-6b92acefe90d		IICT	MammalsAngola			Occurrence		Coordinates obtained as the central point of a grid with 15 minutes		efb1e493-cc8d-4838-bfe2-871c128e59a6	3008															Crawford-Cabral J, Veríssimo LN (2005) The ungulate fauna of Angola. Systematic list, distribution maps, database report. Estudos Ensaios e Documentos, 163. Instituto de Investigação Científica Tropical. Lisboa.																																		Africa				Angola	AO	Namibe			Serra da Neve												-13.875	13.125	WGS84	27500	0.15					decimal degrees	WGS84	POLYGON ((13 -13.75, 13.25 -13.75, 13.25 -14, 13 -14, 13 -13.75))	WGS84	1																																									Aepyceros melampus petersi							Animalia; Chordata; Mammalia; Artiodactyla; Antilopinae; Aepyceros; Aepyceros melampus	Animalia	Chordata	Mammalia	Artiodactyla	Antilopinae	Aepyceros		melampus	petersi	subspecies		Bocage, 1879					
1041032370		Instituto de Investigação Científica Tropical																								f171a648-a69d-4cdd-8b5f-808f0414b3ce									pt				2014-11-19							http://creativecommons.org/licenses/by-nc/3.0/								Occurrence			c8f0799b-aeb9-4ecc-868e-6b92acefe90d		IICT	MammalsAngola			Occurrence		Coordinates obtained as the central point of a grid with 15 minutes		f171a648-a69d-4cdd-8b5f-808f0414b3ce	2961															Crawford-Cabral J, Veríssimo LN (2005) The ungulate fauna of Angola. Systematic list, distribution maps, database report. Estudos Ensaios e Documentos, 163. Instituto de Investigação Científica Tropical. Lisboa.																																		Africa				Angola	AO	Cunene			Humbe												-16.625	14.875	WGS84	27500	0.15					decimal degrees	WGS84	POLYGON ((14.75 -16.5, 15 -16.5, 15 -16.75, 14.75 -16.75, 14.75 -16.5))	WGS84	1																																									Aepyceros melampus petersi							Animalia; Chordata; Mammalia; Artiodactyla; Antilopinae; Aepyceros; Aepyceros melampus	Animalia	Chordata	Mammalia	Artiodactyla	Antilopinae	Aepyceros		melampus	petersi	subspecies		Bocage, 1879					
