,gbif_id,taxon_name,decimal_latitude,decimal_longitude,occurrence,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
60,48459584,Gazella gazella,31.963509000000002,34.757791999999995,1,5.3012743,133.0,18.0,1334.35,90.99,-0.58,12.95,82.49,85014.0,85014.0,181.0,208.0,12.0,60.9,156.36,3976.73,145.38,60.9,455.0,38.0,74.0,0.004200783,196.0,253.0,136.0,560.0,143.0,0.0,113.0,374.0,0.0,1.0,374.0,111.0,47.0,4584.0,310.0,78.0,232.0,136.0,249.0
61,1094469860,Gazella gazella,31.94,35.34,1,1.8497392,130.0,40.0,1447.96,90.57,-0.76,15.65,44.06,85860.0,85860.0,160.0,207.0,12.0,55.16,183.36,5367.79,168.48,55.16,428.0,243.0,68.0,0.092165686,198.0,264.0,123.0,344.0,85.0,0.0,108.0,223.0,0.0,0.0,223.0,121.0,45.0,5656.0,336.0,70.0,266.0,123.0,263.0
62,84132263,Gazella gazella,32.377951,35.46349,1,1.1930646,134.0,38.0,1467.04,86.53,-0.77,16.05,43.37,90036.0,90036.0,168.0,222.0,12.0,55.8,185.05,5431.69,168.89,55.8,455.0,176.0,61.0,0.04256738,208.0,277.0,131.0,341.0,84.0,0.0,106.0,222.0,0.0,0.0,222.0,120.0,44.0,5855.0,346.0,79.0,267.0,131.0,275.0
63,1248681870,Gazella gazella,33.096667,35.56218,1,1.7473898,134.0,38.0,1274.81,92.71,-0.49,15.6,89.18,82458.0,82458.0,146.0,210.0,12.0,47.44,164.81,4872.61,150.74,47.44,411.0,176.0,61.0,0.06523427,191.0,257.0,119.0,648.0,170.0,0.0,104.0,421.0,0.0,2.0,421.0,100.0,40.0,5521.0,322.0,74.0,248.0,119.0,255.0
64,48458701,Gazella gazella,31.820840999999998,35.077458,1,4.7985897,130.0,40.0,1376.54,85.89,-0.64,14.2,67.94,82368.0,82368.0,160.0,196.0,12.0,54.98,171.05,4852.04,158.09,54.98,420.0,243.0,68.0,0.049435724,190.0,250.0,123.0,493.0,121.0,0.0,108.0,322.0,0.0,0.0,322.0,116.0,46.0,5160.0,318.0,70.0,248.0,123.0,249.0
65,1248683751,Gazella gazella,31.46315,34.904340999999995,1,5.093343,130.0,40.0,1398.95,85.78,-0.76,14.05,45.06,82998.0,82998.0,164.0,194.0,12.0,57.52,173.23,4819.29,160.0,57.52,425.0,243.0,68.0,0.023711143,192.0,250.0,125.0,331.0,80.0,0.0,107.0,210.0,0.0,0.0,210.0,118.0,47.0,5028.0,320.0,69.0,251.0,125.0,250.0
66,84109691,Gazella gazella,31.710583000000003,34.929913,1,5.1790156,130.0,40.0,1408.2,87.17,-0.68,13.9,61.71,85914.0,85914.0,173.0,204.0,12.0,58.92,172.63,4746.5,159.17,58.92,449.0,243.0,68.0,0.009468059,199.0,257.0,133.0,447.0,114.0,0.0,108.0,289.0,0.0,0.0,289.0,117.0,47.0,5031.0,324.0,77.0,247.0,133.0,256.0
67,84092453,Gazella gazella,31.767413,34.655289,1,-3.4e+38,133.0,18.0,1295.55,91.92,-0.63,12.9,71.91,86454.0,86454.0,182.0,215.0,12.0,60.28,150.6,3749.97,140.2,61.66,467.0,0.0,74.0,-3.4e+38,200.0,255.0,141.0,474.0,119.0,0.0,112.0,315.0,0.0,1.0,310.0,103.0,45.0,4505.0,310.0,85.0,225.0,158.0,251.0
68,1094474297,Gazella gazella,31.98,35.23,1,5.105964,134.0,38.0,1282.47,96.19,-0.55,15.1,79.23,73890.0,73890.0,129.0,181.0,10.0,46.52,163.92,4914.45,151.42,46.52,351.0,176.0,61.0,0.006154941,171.0,233.0,99.0,576.0,139.0,0.0,108.0,372.0,0.0,0.0,372.0,110.0,44.0,5448.0,301.0,51.0,250.0,99.0,232.0
69,1092918112,Gazella gazella,31.66,34.98,1,5.429674,130.0,40.0,1402.38,87.89,-0.71,14.0,56.34,84240.0,84240.0,167.0,198.0,12.0,57.44,173.41,4839.41,160.0,57.44,435.0,243.0,68.0,0.019396337,195.0,254.0,128.0,411.0,102.0,0.0,107.0,262.0,0.0,0.0,262.0,118.0,47.0,5064.0,322.0,73.0,249.0,128.0,252.0
70,84160982,Gazella gazella,31.847832,35.024594,1,5.016564,130.0,40.0,1396.06,86.1,-0.64,14.05,68.94,84798.0,84798.0,169.0,203.0,12.0,57.61,171.5,4766.32,158.13,57.61,440.0,243.0,68.0,0.058361676,196.0,256.0,130.0,499.0,127.0,0.0,110.0,329.0,0.0,0.0,329.0,117.0,47.0,5081.0,322.0,75.0,247.0,130.0,253.0
71,1094471744,Gazella gazella,31.83,34.75,1,5.5336447,140.0,36.0,1353.23,85.82,-0.64,13.2,69.87,86382.0,86382.0,181.0,210.0,12.0,60.95,160.12,4127.65,147.99,60.95,461.0,134.0,68.0,0.006560273,200.0,256.0,138.0,481.0,120.0,0.0,110.0,315.0,0.0,1.0,315.0,111.0,47.0,4668.0,315.0,80.0,235.0,138.0,253.0
72,84165295,Gazella gazella,32.943076,35.564574,1,2.32176,134.0,38.0,1305.47,87.6,-0.55,16.0,79.36,83232.0,83232.0,146.0,212.0,12.0,47.98,169.36,5046.1,154.59,47.98,411.0,176.0,61.0,0.09285394,192.0,260.0,118.0,591.0,156.0,0.0,107.0,390.0,0.0,1.0,390.0,103.0,40.0,5701.0,327.0,73.0,254.0,118.0,259.0
73,84142401,Gazella gazella,32.903673,35.740778999999996,1,5.111353,142.0,39.0,1440.61,87.8,-0.69,16.65,55.24,87768.0,87768.0,160.0,218.0,12.0,53.87,186.07,5497.85,170.21,53.87,436.0,137.0,63.0,0.045784317,203.0,274.0,126.0,447.0,113.0,0.0,105.0,291.0,0.0,1.0,291.0,119.0,43.0,5931.0,348.0,73.0,275.0,126.0,273.0
74,1248682396,Gazella gazella,32.917469,35.747690000000006,1,4.280939,142.0,39.0,1396.08,86.45,-0.65,16.55,60.82,85194.0,85194.0,153.0,213.0,12.0,52.0,180.89,5354.9,165.39,52.0,419.0,137.0,63.0,0.04997903,197.0,267.0,121.0,484.0,125.0,0.0,106.0,316.0,0.0,1.0,316.0,115.0,42.0,5851.0,340.0,69.0,271.0,121.0,266.0
75,84161171,Gazella gazella,32.747195,35.633139,1,5.3318167,153.0,49.0,1525.69,90.03,-0.75,16.65,46.62,93672.0,93672.0,174.0,229.0,12.0,57.23,195.2,5776.77,178.94,57.23,475.0,96.0,66.0,0.022334117,217.0,289.0,138.0,383.0,94.0,0.0,107.0,248.0,0.0,1.0,248.0,124.0,44.0,6006.0,362.0,84.0,278.0,138.0,287.0
76,84132434,Gazella gazella,31.694559,35.056534,1,4.821598,134.0,38.0,1378.35,86.59,-0.67,14.35,62.39,81306.0,81306.0,156.0,192.0,12.0,54.24,172.46,4933.2,159.39,54.24,411.0,176.0,61.0,0.061159626,188.0,248.0,120.0,458.0,111.0,0.0,107.0,295.0,0.0,0.0,295.0,117.0,46.0,5193.0,318.0,67.0,251.0,120.0,247.0
77,84139769,Gazella gazella,31.798354999999997,35.177805,1,1.8862797,134.0,38.0,1326.93,91.72,-0.63,15.15,65.62,75132.0,75132.0,132.0,179.0,10.0,47.79,169.59,5090.6,156.72,47.79,357.0,176.0,61.0,0.03286627,174.0,236.0,100.0,489.0,113.0,0.0,109.0,313.0,0.0,0.0,313.0,115.0,44.0,5468.0,307.0,51.0,256.0,100.0,235.0
78,84164811,Gazella gazella,33.213179,35.681519,1,4.7673855,142.0,39.0,1230.34,92.42,-0.45,16.35,89.91,74988.0,74988.0,123.0,193.0,10.0,43.85,161.95,4876.48,148.3,43.85,348.0,137.0,63.0,0.08420109,173.0,241.0,97.0,673.0,168.0,0.0,104.0,437.0,0.0,1.0,437.0,101.0,39.0,5768.0,309.0,52.0,257.0,97.0,241.0
79,1094479873,Gazella gazella,33.04,35.65,1,4.7523565,153.0,49.0,1399.11,85.71,-0.63,16.15,66.26,88668.0,88668.0,164.0,223.0,12.0,53.55,179.05,5213.94,164.26,53.55,449.0,96.0,66.0,0.037328336,205.0,274.0,131.0,515.0,137.0,0.0,108.0,338.0,0.0,1.0,338.0,112.0,42.0,5717.0,344.0,80.0,264.0,131.0,272.0
