,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
0,0,1943921618,Ovis ammon,43.0795,108.423,POINT (108.423 43.0795),1,4.7188454,151.0,22.0,925.99,87.04,-0.87,36.8,8.84,22102.5,22102.5,-81.0,166.0,5.0,8.76,8.76,6205.73,154.63,154.63,111.0,25.0,78.0,0.00840434,52.0,211.0,-121.0,120.0,35.0,1.0,105.0,83.0,4.0,83.0,4.0,130.0,26.0,12870.0,289.0,-200.0,489.0,211.0,-121.0
1,1,1935614523,Ovis ammon,33.94865,95.777857,POINT (95.777857 33.94865),1,5.596061,122.0,13.0,615.53,35.7,-0.32,22.5,42.5,3907.5,1813.5,-62.0,19.0,0.0,9.97,11.33,3522.9,95.37,95.37,-287.5,252.0,76.0,0.05637311,-31.0,67.0,-136.0,421.0,98.0,3.0,97.0,259.0,10.0,259.0,11.0,142.0,38.0,7997.0,137.0,-232.0,369.0,67.0,-128.0
2,2,1935591439,Ovis ammon,47.619003,105.976988,POINT (105.976988 47.619003),1,2.450449,131.0,21.0,761.74,71.76,-0.71,39.2,15.8,15645.0,10672.5,-147.0,120.0,4.0,0.17,8.95,5900.88,138.2,138.2,-20.0,214.0,68.0,0.009154736,0.0,169.0,-191.0,222.0,62.0,2.0,109.0,156.0,7.0,156.0,7.0,139.0,26.0,13936.0,244.0,-273.0,517.0,169.0,-154.0
3,3,1932338411,Ovis ammon,47.645901,105.998843,POINT (105.998843 47.645901),1,2.450449,131.0,21.0,761.74,71.76,-0.71,39.2,15.8,15645.0,10672.5,-147.0,120.0,4.0,0.17,8.95,5900.88,138.2,138.2,-20.0,214.0,68.0,0.009154736,0.0,169.0,-191.0,222.0,62.0,2.0,109.0,156.0,7.0,156.0,7.0,139.0,26.0,13936.0,244.0,-273.0,517.0,169.0,-154.0
4,4,1883835292,Ovis ammon,45.723038,108.644844,POINT (108.644844 45.723038),1,6.0437045,152.0,19.0,806.31,82.71,-0.82,37.25,10.6,17839.5,11887.5,-120.0,138.0,5.0,2.56,11.61,6033.14,144.55,144.55,23.25,58.0,70.0,0.0027648765,18.0,186.0,-159.0,142.0,44.0,1.0,118.0,104.0,4.0,104.0,4.0,128.0,26.0,13426.0,261.0,-226.0,487.0,186.0,-129.0
5,5,1839211373,Ovis ammon,35.754648,93.597542,POINT (93.597542 35.754648),1,4.784514,122.0,12.0,430.8,46.49,-0.46,22.75,24.25,670.5,0.0,-112.0,-22.0,0.0,0.33,2.53,3195.35,77.92,77.92,-419.75,75.0,76.0,0.027100937,-78.0,24.0,-182.0,234.0,63.0,1.0,109.0,159.0,3.0,159.0,4.0,138.0,37.0,8104.0,94.0,-271.0,365.0,24.0,-171.0
6,6,1839207122,Ovis ammon,47.900392,91.189065,POINT (91.189065 47.900392),1,1.5674354,131.0,21.0,690.26,80.15,-0.79,37.45,10.45,11151.0,9090.0,-150.0,95.0,3.0,0.0,0.0,5363.25,126.94,126.94,-94.75,214.0,68.0,0.040341076,-14.0,145.0,-200.0,142.0,39.0,1.0,99.0,92.0,5.0,92.0,5.0,135.0,26.0,13336.0,217.0,-287.0,504.0,145.0,-200.0
7,7,1839204923,Ovis ammon,33.578151,78.14601,POINT (78.14601 33.578151),1,3.783731,133.0,20.0,695.24,81.11,-0.79,25.05,14.05,5797.5,4296.0,-82.0,45.0,2.0,11.1,28.52,4121.03,112.01,103.42,-215.25,130.0,58.0,0.022017958,-11.0,97.0,-123.0,143.0,23.0,4.0,41.0,54.0,19.0,46.0,33.0,127.0,33.0,8521.0,176.0,-198.0,374.0,94.0,-57.0
8,8,1436969598,Ovis ammon,48.0,90.0,POINT (90 48),1,5.53954,114.0,21.0,507.1,62.83,-0.61,31.55,17.02,4657.5,2340.0,-158.0,39.0,0.0,0.0,0.0,4207.29,99.22,99.22,-288.25,302.0,68.0,0.0426978,-57.0,86.0,-207.0,197.0,49.0,1.0,90.0,120.0,6.0,120.0,6.0,121.0,27.0,11379.0,152.0,-282.0,434.0,86.0,-207.0
9,9,1142104204,Ovis ammon,30.969,81.612,POINT (81.61199999999999 30.969),1,2.636979,122.0,13.0,568.42,52.65,-0.13,18.2,62.35,1992.0,639.0,-67.0,1.0,0.0,12.85,24.13,3048.69,85.96,76.96,-290.0,107.0,76.0,0.010072758,-37.0,48.0,-118.0,497.0,114.0,6.0,76.0,268.0,46.0,247.0,82.0,121.0,40.0,6485.0,109.0,-187.0,296.0,42.0,-79.0
