,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
0,0,784015204,Catagonus wagneri,-20.63333,-59.86666999999999,POINT (-59.86666999999999 -20.63333),1,1.688017,131.0,23.0,1807.11,59.83,-0.6,8.5,115.56,108504.0,108504.0,263.0,222.0,12.0,96.87,103.21,4035.73,195.85,177.73,649.0,93.0,64.0,0.00046396785,251.0,283.0,208.0,726.0,105.0,12.0,56.0,297.0,50.0,279.0,72.0,129.0,61.0,2989.0,351.0,140.0,211.0,276.0,211.0
1,1,1436950728,Catagonus wagneri,-20.833333,-59.833333,POINT (-59.833333 -20.833333),1,1.6334507,131.0,23.0,1802.92,59.34,-0.59,8.6,116.1,108648.0,108648.0,263.0,224.0,12.0,96.12,102.36,4067.74,196.07,177.94,650.0,93.0,64.0,0.00043331092,251.0,284.0,208.0,733.0,106.0,13.0,55.0,295.0,52.0,283.0,74.0,128.0,60.0,3042.0,352.0,140.0,212.0,277.0,211.0
2,2,1065393744,Catagonus wagneri,-21.45,-61.9052,POINT (-61.9052 -21.45),1,2.4814591,131.0,23.0,1760.19,69.61,-0.7,10.45,75.01,102618.0,102618.0,247.0,215.0,12.0,89.69,121.97,4305.69,195.65,175.9,591.0,93.0,64.0,0.00075563474,237.0,275.0,187.0,535.0,101.0,6.0,73.0,268.0,21.0,223.0,45.0,131.0,54.0,3540.0,348.0,107.0,241.0,266.0,206.0
3,3,665823099,Catagonus wagneri,-21.75,-60.919998,POINT (-60.919998 -21.75),1,1.6921101,131.0,23.0,1795.09,61.39,-0.61,10.05,99.24,106434.0,106434.0,255.0,221.0,12.0,90.31,123.05,4485.2,196.75,180.29,623.0,93.0,64.0,0.0006725802,246.0,285.0,197.0,693.0,118.0,10.0,64.0,313.0,39.0,301.0,68.0,131.0,55.0,3530.0,357.0,122.0,235.0,277.0,215.0
4,4,919430188,Catagonus wagneri,-21.0833,-61.1333,POINT (-61.1333 -21.0833),1,2.034222,137.0,13.0,1784.84,65.66,-0.66,9.85,89.05,105354.0,105354.0,255.0,220.0,12.0,92.87,123.52,4213.39,196.35,177.04,618.0,107.0,59.0,0.0015173466,244.0,279.0,196.0,613.0,109.0,10.0,62.0,286.0,38.0,236.0,71.0,130.0,56.0,3352.0,351.0,119.0,232.0,270.0,215.0
5,5,665728661,Catagonus wagneri,-22.3547,-60.339699,POINT (-60.339699 -22.3547),1,2.1261795,129.0,21.0,1800.95,60.41,-0.6,10.0,104.17,107640.0,107640.0,257.0,228.0,12.0,89.4,97.34,4596.25,198.52,198.52,635.0,186.0,63.0,0.00061747036,249.0,289.0,200.0,713.0,106.0,8.0,58.0,300.0,45.0,300.0,75.0,130.0,56.0,3522.0,359.0,129.0,230.0,289.0,202.0
6,6,686461927,Catagonus wagneri,-22.0167,-60.2568,POINT (-60.2568 -22.0167),1,2.2742448,131.0,23.0,1809.25,59.6,-0.6,9.75,107.62,108900.0,108900.0,260.0,229.0,12.0,90.65,122.88,4551.12,198.54,198.54,645.0,93.0,64.0,0.0008388659,252.0,291.0,204.0,731.0,108.0,11.0,58.0,306.0,46.0,306.0,74.0,129.0,56.0,3444.0,361.0,133.0,228.0,291.0,223.0
7,7,1677290302,Catagonus wagneri,-20.573293,-59.801365,POINT (-59.801365 -20.573293),1,1.8752291,131.0,23.0,1807.99,58.85,-0.59,8.3,119.56,108504.0,108504.0,265.0,222.0,12.0,97.46,103.7,3988.56,195.17,177.59,650.0,93.0,64.0,0.0005430704,251.0,283.0,209.0,744.0,108.0,13.0,55.0,304.0,52.0,285.0,73.0,129.0,61.0,2939.0,350.0,141.0,209.0,276.0,212.0
8,8,699206490,Catagonus wagneri,-24.2964,-61.79827,POINT (-61.79827 -24.2964),1,1.5707964,124.0,23.0,1752.48,61.14,-0.61,11.2,90.39,98604.0,98604.0,238.0,210.0,12.0,82.97,91.74,4842.08,198.57,180.39,561.0,179.0,62.0,0.00041400947,228.0,275.0,174.0,681.0,118.0,8.0,69.0,323.0,35.0,313.0,51.0,139.0,54.0,3956.0,350.0,95.0,255.0,265.0,176.0
9,9,1677290473,Catagonus wagneri,-22.232352,-60.24708,POINT (-60.24708 -22.232352),1,2.3979652,129.0,21.0,1803.73,59.58,-0.6,9.8,107.37,108540.0,108540.0,259.0,229.0,12.0,90.09,98.0,4546.64,198.16,198.16,642.0,186.0,63.0,0.0005160679,251.0,290.0,203.0,729.0,106.0,9.0,56.0,300.0,49.0,300.0,79.0,129.0,56.0,3446.0,360.0,132.0,228.0,290.0,205.0
