,gbif_id,taxon_name,decimal_latitude,decimal_longitude,occurrence,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
223,1238714183,Alces alces,60.414621999999994,12.249733,1,1.7520461,125.0,9.0,523.39,27.57,0.28,21.65,88.61,13639.5,8760.0,-42.0,99.0,3.0,3.43,23.14,4249.69,100.62,77.44,-84.25,418.0,40.0,0.02873982,35.0,136.0,-65.0,726.0,87.0,34.0,30.0,251.0,113.0,247.0,130.0,74.0,25.0,7790.0,193.0,-102.0,295.0,123.0,-25.0
224,1607883208,Alces alces,62.73468199999999,30.987201000000002,1,0.6818955,99.0,12.0,488.05,39.32,0.22,27.8,63.09,12810.0,8722.5,-85.0,111.0,3.0,1.57,6.16,4312.61,100.24,75.53,-108.0,1480.0,37.0,0.0016773896,16.0,142.0,-108.0,626.0,84.0,30.0,32.0,223.0,98.0,213.0,114.0,76.0,21.0,9633.0,204.0,-156.0,360.0,126.0,-101.0
225,1238750288,Alces alces,60.823267,11.8652,1,4.104676,125.0,9.0,523.62,31.42,0.21,22.35,79.11,13419.0,8677.5,-49.0,97.0,3.0,3.14,8.74,4302.33,101.53,78.04,-90.75,418.0,40.0,0.016153939,31.0,135.0,-71.0,663.0,84.0,29.0,35.0,243.0,96.0,241.0,110.0,76.0,25.0,7985.0,194.0,-108.0,302.0,121.0,-61.0
226,1844274819,Alces alces,59.193459,24.721014999999998,1,0.52297014,39.0,4.0,532.92,33.51,0.23,22.7,82.93,19008.0,13428.0,-30.0,126.0,4.0,4.17,23.69,4231.11,101.5,79.16,-26.5,4143.0,49.0,0.0011587255,52.0,157.0,-48.0,690.0,79.0,33.0,30.0,232.0,107.0,211.0,142.0,66.0,22.0,8036.0,209.0,-89.0,298.0,146.0,-17.0
227,1671021622,Alces alces,59.958107999999996,18.317601,1,5.266083,125.0,19.0,548.76,47.78,-0.01,20.85,69.27,19596.0,13671.0,-12.0,126.0,4.0,4.25,24.85,4396.62,104.43,79.78,-5.75,427.0,52.0,0.0039213067,59.0,159.0,-33.0,542.0,67.0,27.0,30.0,190.0,86.0,174.0,115.0,67.0,24.0,7488.0,212.0,-67.0,279.0,147.0,-2.0
228,855561764,Alces alces,65.273612,19.689679,1,1.5665491,91.0,13.0,464.74,40.64,0.17,28.15,53.78,9126.0,7477.5,-93.0,91.0,3.0,0.88,16.55,4247.46,97.98,72.68,-161.25,1128.0,41.0,0.012775075,-3.0,125.0,-129.0,557.0,75.0,29.0,32.0,203.0,90.0,201.0,109.0,91.0,24.0,9811.0,190.0,-189.0,379.0,109.0,-74.0
229,1676125171,Alces alces,56.853007999999996,15.332185,1,2.52835,104.0,12.0,588.93,42.8,0.06,18.2,87.66,21775.5,13221.0,2.0,111.0,4.0,6.12,28.9,4402.66,107.17,84.53,15.0,841.0,43.0,0.0036825477,62.0,150.0,-20.0,628.0,71.0,37.0,20.0,198.0,114.0,185.0,145.0,71.0,27.0,6625.0,205.0,-50.0,255.0,141.0,7.0
230,1669131614,Alces alces,57.375088,12.693553999999999,1,5.0833035,108.0,15.0,557.42,26.45,0.39,18.2,127.9,23085.0,13806.0,15.0,124.0,5.0,6.87,28.97,4006.17,99.18,25.58,30.0,763.0,44.0,0.008308274,68.0,154.0,-14.0,915.0,95.0,49.0,23.0,283.0,158.0,248.0,225.0,68.0,26.0,6586.0,201.0,-54.0,255.0,76.0,12.0
231,723438395,Alces alces,59.308857999999994,28.141838,1,2.1125927,140.0,3.0,567.88,37.65,0.12,24.8,71.23,16789.5,13653.0,-47.0,127.0,5.0,3.72,9.39,4621.98,108.82,83.75,-30.0,85.0,47.0,0.0021571163,48.0,162.0,-65.0,642.0,80.0,26.0,34.0,229.0,92.0,212.0,108.0,72.0,22.0,8831.0,220.0,-103.0,323.0,145.0,-59.0
232,1238738589,Alces alces,69.179604,18.516982000000002,1,4.273524,136.0,5.0,354.61,36.4,0.52,16.9,115.91,7929.0,4524.0,-27.0,80.0,2.0,0.76,55.81,3248.13,75.03,10.47,-88.0,129.0,38.0,0.025598658,19.0,103.0,-51.0,741.0,94.0,36.0,26.0,240.0,120.0,173.0,202.0,58.0,25.0,6044.0,151.0,-80.0,231.0,21.0,43.0
233,1238744619,Alces alces,61.147546,10.597183,1,3.6270905,126.0,5.0,501.04,29.32,0.22,22.65,75.0,10752.0,7327.5,-68.0,75.0,3.0,2.55,20.74,4216.83,99.34,99.34,-145.25,425.0,32.0,0.044787526,13.0,117.0,-91.0,641.0,89.0,28.0,39.0,248.0,88.0,248.0,104.0,80.0,25.0,8051.0,180.0,-130.0,310.0,117.0,-45.0
234,855248043,Alces alces,58.488133999999995,11.810663,1,4.6100936,122.0,19.0,528.78,33.35,0.32,18.3,112.46,22518.0,13572.0,0.0,120.0,5.0,5.23,26.03,3958.2,96.14,23.65,16.5,482.0,46.0,0.003985268,65.0,151.0,-18.0,776.0,88.0,41.0,25.0,253.0,130.0,215.0,170.0,62.0,25.0,6650.0,196.0,-50.0,246.0,74.0,8.0
