,gbif_id,taxon_name,decimal_latitude,decimal_longitude,occurrence,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
14,665796418,Madoqua saltiana,7.75,40.700001,1,0.0011430014,133.0,24.0,1769.08,60.81,-0.49,2.6,168.28,90648.0,90648.0,274.0,143.0,12.0,138.59,143.98,775.8,156.55,156.55,532.0,84.0,67.0,0.023789488,210.0,218.0,195.0,904.0,173.0,5.0,70.0,393.0,44.0,393.0,56.0,143.0,78.0,922.0,295.0,112.0,183.0,218.0,200.0
15,665796412,Madoqua saltiana,9.133333,38.433334,1,2.9952106,136.0,50.0,1464.14,67.38,-0.21,3.45,214.42,64782.0,64782.0,214.0,97.0,12.0,115.94,115.26,1226.38,139.15,108.99,363.5,149.0,67.0,0.027499719,150.0,166.0,138.0,1155.0,271.0,9.0,92.0,695.0,34.0,227.0,51.0,138.0,73.0,1129.0,242.0,55.0,187.0,143.0,139.0
16,665784631,Madoqua saltiana,10.0,44.783333,1,5.36063,124.0,21.0,1736.35,88.65,-0.89,8.7,32.3,105912.0,105912.0,257.0,226.0,12.0,119.34,119.34,1971.74,163.92,162.96,640.0,249.0,72.0,0.015411479,245.0,283.0,204.0,197.0,31.0,2.0,66.0,80.0,6.0,64.0,6.0,115.0,56.0,3154.0,346.0,141.0,205.0,280.0,204.0
17,665784629,Madoqua saltiana,10.2,44.833332,1,6.1078534,138.0,8.0,1773.37,96.22,-0.96,10.25,10.58,120114.0,120114.0,279.0,276.0,12.0,118.12,118.12,2542.11,179.59,176.34,735.0,62.0,66.0,0.026995886,278.0,328.0,232.0,67.0,12.0,1.0,63.0,32.0,3.0,24.0,3.0,103.0,49.0,3804.0,388.0,178.0,210.0,324.0,232.0
18,665784627,Madoqua saltiana,10.383333,45.416668,1,5.89045,130.0,20.0,1779.55,98.09,-0.98,10.0,5.47,122562.0,122562.0,289.0,285.0,12.0,120.28,120.28,2431.03,178.12,175.59,758.0,114.0,74.0,0.01374285,284.0,334.0,239.0,34.0,8.0,0.0,73.0,15.0,1.0,9.0,1.0,102.0,49.0,3768.0,391.0,185.0,206.0,330.0,239.0
19,665784626,Madoqua saltiana,4.566667,45.25,1,4.577589,133.0,18.0,2000.07,86.15,-0.86,2.8,59.09,123768.0,123768.0,335.0,236.0,12.0,155.09,165.87,1175.09,178.04,178.04,774.0,40.0,74.0,0.0010093987,286.0,297.0,278.0,277.0,71.0,0.0,118.0,144.0,7.0,144.0,8.0,125.0,80.0,788.0,370.0,215.0,155.0,297.0,285.0
20,665769924,Madoqua saltiana,8.0,44.0,1,3.4947116,128.0,17.0,2026.54,82.73,-0.83,3.35,55.37,106344.0,106344.0,326.0,188.0,12.0,162.9,168.7,1299.12,182.42,182.42,644.5,81.0,72.0,0.015815292,246.0,257.0,233.0,350.0,86.0,2.0,96.0,184.0,8.0,184.0,25.0,158.0,74.0,1007.0,342.0,129.0,213.0,257.0,234.0
21,665769919,Madoqua saltiana,9.833333,44.316666,1,6.241329,133.0,24.0,1743.84,82.45,-0.82,7.9,51.07,102348.0,102348.0,255.0,211.0,12.0,121.16,121.16,1846.06,160.76,160.04,614.0,160.0,72.0,0.009802593,237.0,267.0,199.0,306.0,49.0,2.0,73.0,141.0,8.0,120.0,8.0,121.0,59.0,2768.0,335.0,133.0,202.0,264.0,199.0
22,665769918,Madoqua saltiana,9.7,44.700001,1,4.3132224,133.0,24.0,1665.88,76.65,-0.77,7.4,65.91,90972.0,90972.0,233.0,180.0,12.0,113.99,117.28,1664.93,148.76,153.17,531.0,160.0,72.0,0.007329756,210.0,236.0,174.0,389.0,65.0,3.0,66.0,158.0,14.0,119.0,19.0,126.0,62.0,2600.0,305.0,104.0,201.0,230.0,174.0
23,665769916,Madoqua saltiana,9.766666,44.683334,1,4.382962,133.0,24.0,1652.42,76.34,-0.76,7.7,65.61,90504.0,90504.0,230.0,181.0,12.0,115.78,115.78,1696.99,148.65,152.17,528.0,160.0,72.0,0.008554237,209.0,237.0,172.0,391.0,64.0,3.0,66.0,156.0,15.0,122.0,20.0,125.0,61.0,2693.0,305.0,102.0,203.0,230.0,172.0
24,476838314,Madoqua saltiana,13.183333,30.216666999999998,1,0.44441003,145.0,14.0,2024.18,84.34,-0.84,10.1,41.01,117972.0,117972.0,300.0,244.0,12.0,143.98,162.69,2513.25,201.33,159.32,708.0,57.0,64.0,0.0027044942,273.0,309.0,226.0,317.0,114.0,0.0,146.0,270.0,0.0,33.0,0.0,143.0,55.0,3092.0,393.0,135.0,258.0,279.0,242.0
25,476838311,Madoqua saltiana,15.457,36.4001,1,5.3833494,150.0,30.0,2193.72,87.97,-0.88,8.45,34.26,126396.0,126396.0,337.0,251.0,12.0,153.71,174.0,2838.01,221.2,176.44,785.5,84.0,75.0,0.0015709471,292.0,325.0,256.0,264.0,91.0,0.0,136.0,215.0,0.0,38.0,0.0,157.0,61.0,2531.0,417.0,162.0,255.0,292.0,267.0
