,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent
0,1323889821,Vicagna vicugna,-14.720999999999998,-74.399,POINT (-74.399 -14.721),1
1,1211821788,Vicagna vicugna,-14.833332999999998,-69.833333,POINT (-69.833333 -14.833333),1
2,1211820141,Vicagna vicugna,-12.366667,-74.883333,POINT (-74.88333299999999 -12.366667),1
3,1145683553,Vicagna vicugna,-16.033333,-70.833333,POINT (-70.833333 -16.033333),1
4,1145683502,Vicagna vicugna,-14.254660000000001,-69.73425999999999,POINT (-69.73425999999999 -14.25466),1
5,1065388765,Vicagna vicugna,-14.666667000000002,-74.383333,POINT (-74.38333299999999 -14.666667),1
6,665881183,Vicagna vicugna,-15.2,-71.766663,POINT (-71.76666299999999 -15.2),1
7,665805290,Vicagna vicugna,-16.066666,-71.583336,POINT (-71.583336 -16.066666),1
8,476848905,Vicagna vicugna,-13.227661,-73.893589,POINT (-73.89358900000001 -13.227661),1
9,476848904,Vicagna vicugna,-16.683332999999998,-70.06666700000001,POINT (-70.06666700000001 -16.683333),1
10,45914928,Vicagna vicugna,-14.667,-74.383,POINT (-74.383 -14.667),1
11,45914839,Vicagna vicugna,-14.599,-73.617,POINT (-73.617 -14.599),1
12,1323889821,Vicagna vicugna,-12.71394826425702,-62.836260975572515,POINT (-62.83626097557251 -12.71394826425702),0
13,1211821788,Vicagna vicugna,-22.830879442104777,-68.20017619348289,POINT (-68.20017619348289 -22.83087944210478),0
14,1211820141,Vicagna vicugna,-23.129165904677194,-71.68250407037031,POINT (-71.68250407037031 -23.12916590467719),0
15,1145683553,Vicagna vicugna,-17.60045288028125,-76.62319899957308,POINT (-76.62319899957308 -17.60045288028125),0
16,1145683502,Vicagna vicugna,-10.21663958838912,-68.71459402325732,POINT (-68.71459402325732 -10.21663958838912),0
17,1065388765,Vicagna vicugna,-10.744965957242291,-68.42013207917913,POINT (-68.42013207917913 -10.74496595724229),0
18,665881183,Vicagna vicugna,-16.412433440465406,-74.19897793292012,POINT (-74.19897793292012 -16.41243344046541),0
19,665805290,Vicagna vicugna,-18.424860978135914,-82.20629063258782,POINT (-82.20629063258782 -18.42486097813591),0
20,476848905,Vicagna vicugna,-11.56436742985382,-80.29685500100442,POINT (-80.29685500100442 -11.56436742985382),0
21,476848904,Vicagna vicugna,-14.700747686691912,-66.7861537410329,POINT (-66.7861537410329 -14.70074768669191),0
22,45914928,Vicagna vicugna,-16.981196311556715,-75.24464310261124,POINT (-75.24464310261124 -16.98119631155672),0
23,45914839,Vicagna vicugna,-18.326009022815356,-68.05820651090427,POINT (-68.05820651090427 -18.32600902281536),0
