,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4
0,0,1990593807,Lama glama guanicoe,-50.980343,-72.76443499999998,POINT (-72.76443499999999 -50.980343),1,,,,688.25
1,1,1990566091,Lama glama guanicoe,-53.182945,-69.28293599999999,POINT (-69.28293599999999 -53.182945),1,,,,578.58
2,2,1990556566,Lama glama guanicoe,-46.872203000000006,-70.224092,POINT (-70.224092 -46.87220300000001),1,,,,878.39
3,3,1990486258,Lama glama guanicoe,-51.005546,-72.842054,POINT (-72.842054 -51.005546),1,,,,685.78
4,4,1986626409,Lama glama guanicoe,-42.629804,-64.191275,POINT (-64.191275 -42.629804),1,,,,1031.4
5,5,1986625937,Lama glama guanicoe,-42.628104,-64.206254,POINT (-64.206254 -42.628104),1,,,,1031.4
6,6,1986625399,Lama glama guanicoe,-42.630414,-64.201937,POINT (-64.201937 -42.630414),1,,,,1031.4
7,7,1986624198,Lama glama guanicoe,-53.415312,-68.129085,POINT (-68.129085 -53.415312),1,,,,583.67
8,8,1986621637,Lama glama guanicoe,-52.142153,-69.519961,POINT (-69.519961 -52.142153),1,,,,672.62
9,9,1986621380,Lama glama guanicoe,-30.65371,-71.684147,POINT (-71.684147 -30.65371),1,,,,1082.58
10,10,1986621362,Lama glama guanicoe,-26.245364,-70.614434,POINT (-70.614434 -26.245364),1,,,,1240.45
11,11,1986620369,Lama glama guanicoe,-51.27,-72.37,POINT (-72.37 -51.27),1,,,,684.37
12,12,1986615782,Lama glama guanicoe,-47.859555,-66.390651,POINT (-66.39065100000001 -47.859555),1,,,,870.9
13,13,1986615744,Lama glama guanicoe,-47.768678,-66.194965,POINT (-66.194965 -47.768678),1,,,,871.38
14,14,1986615503,Lama glama guanicoe,-47.881436,-66.655434,POINT (-66.655434 -47.881436),1,,,,870.52
15,15,1986604678,Lama glama guanicoe,-32.754679,-69.056301,POINT (-69.056301 -32.754679),1,,,,1084.67
16,16,1986576951,Lama glama guanicoe,-47.1153,-72.484409,POINT (-72.484409 -47.1153),1,,,,683.18
17,17,1986574863,Lama glama guanicoe,-46.896389,-71.251667,POINT (-71.251667 -46.896389),1,,,,668.98
18,18,1978837059,Lama glama guanicoe,-50.992761,-72.80288399999998,POINT (-72.80288399999999 -50.992761),1,,,,688.25
19,19,1948744292,Lama glama guanicoe,-51.314305,-72.845159,POINT (-72.845159 -51.314305),1,,,,660.24
20,20,1946332099,Lama glama guanicoe,-50.938865,-72.733875,POINT (-72.733875 -50.938865),1,,,,691.71
21,21,1945445782,Lama glama guanicoe,-51.107129,-73.048587,POINT (-73.048587 -51.107129),1,,,,675.15
22,22,1935605309,Lama glama guanicoe,-26.066915,-65.846828,POINT (-65.846828 -26.066915),1,,,,1403.78
23,23,1935601785,Lama glama guanicoe,-50.974461,-72.722791,POINT (-72.722791 -50.974461),1,,,,691.71
24,24,1933592462,Lama glama guanicoe,-48.625107,-70.69670699999998,POINT (-70.69670699999999 -48.625107),1,,,,828.46
25,25,1932343222,Lama glama guanicoe,-42.660856,-63.835883,POINT (-63.835883 -42.660856),1,,,,987.88
26,26,1932342979,Lama glama guanicoe,-42.462633,-64.414416,POINT (-64.414416 -42.462633),1,,,,1065.01
27,27,1914210240,Lama glama guanicoe,-21.928159,-68.86945,POINT (-68.86945 -21.928159),1,,,,1157.2
28,28,1913665390,Lama glama guanicoe,-26.073535,-70.53299,POINT (-70.53299 -26.073535),1,,,,1269.5
29,29,1913183574,Lama glama guanicoe,-29.7,-67.5833,POINT (-67.58329999999999 -29.7),1,,,,1332.92
30,30,1898830125,Lama glama guanicoe,-51.269984,-72.363087,POINT (-72.36308699999999 -51.269984),1,,,,684.37
