,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
63,63,1257420732,Sus scrofa,41.7079,1.6318,POINT (1.6318 41.7079),1,1.5739956,135.0,31.0,877.95,41.23,-0.21,15.75,101.65,55710.0,55710.0,89.0,167.0,7.0,27.15,27.15,4198.59,113.65,85.83,240.0,194.0,77.0,0.008480377,129.0,203.0,60.0,692.0,80.0,36.0,25.0,210.0,123.0,179.0,123.0,79.0,33.0,5625.0,259.0,22.0,237.0,178.0,60.0
64,64,865747922,Sus scrofa,46.72432,6.5892,POINT (6.5892 46.72432),1,4.8325844,125.0,22.0,790.35,22.26,0.23,18.1,134.62,33940.5,19530.0,24.0,118.0,5.0,15.79,47.1,4643.85,126.41,126.41,73.5,270.0,50.0,0.008824268,85.0,165.0,2.0,1021.0,105.0,70.0,12.0,283.0,225.0,283.0,255.0,89.0,33.0,6337.0,232.0,-36.0,268.0,165.0,43.0
65,65,865747871,Sus scrofa,46.26946,6.07734,POINT (6.07734 46.26946),1,2.1292403,139.0,18.0,804.77,28.81,0.24,18.2,139.4,35673.0,20265.0,29.0,124.0,5.0,16.34,75.4,4705.76,128.77,15.39,91.0,106.0,64.0,0.045846235,90.0,171.0,7.0,1064.0,102.0,75.0,9.0,288.0,250.0,263.0,275.0,88.0,32.0,6383.0,240.0,-29.0,269.0,18.0,83.0
66,66,865747859,Sus scrofa,46.18099,6.20909,POINT (6.20909 46.18099),1,5.4575086,142.0,9.0,854.34,35.55,0.1,18.75,119.27,43668.0,31401.0,39.0,136.0,6.0,17.58,80.01,4977.75,136.38,50.81,122.75,53.0,60.0,0.016363783,101.0,184.0,16.0,945.0,96.0,66.0,11.0,255.0,214.0,245.0,231.0,91.0,32.0,6559.0,257.0,-21.0,278.0,108.0,94.0
67,67,865747854,Sus scrofa,46.27094,6.20705,POINT (6.20705 46.27094),1,5.0543575,132.0,20.0,853.53,35.86,0.09,18.65,119.08,44082.0,31590.0,39.0,136.0,6.0,17.39,80.02,4982.68,136.35,50.75,125.25,126.0,57.0,0.014400203,102.0,185.0,18.0,937.0,95.0,65.0,11.0,252.0,211.0,245.0,229.0,90.0,32.0,6499.0,257.0,-19.0,276.0,108.0,95.0
68,68,865747822,Sus scrofa,46.45086,6.20296,POINT (6.20296 46.45086),1,2.4166136,117.0,26.0,755.86,16.39,0.37,17.95,160.84,25285.5,18249.0,18.0,112.0,5.0,15.21,70.71,4450.72,121.34,14.42,53.0,264.0,62.0,0.06724469,77.0,157.0,-5.0,1203.0,116.0,83.0,10.0,338.0,280.0,291.0,332.0,86.0,32.0,6315.0,223.0,-42.0,265.0,6.0,69.0
69,69,865747803,Sus scrofa,46.1795,6.0795900000000005,POINT (6.07959 46.1795),1,0.04943519,142.0,9.0,846.65,34.49,0.12,18.5,122.59,43380.0,31158.0,38.0,134.0,6.0,17.3,79.46,4934.75,135.21,50.25,120.5,53.0,60.0,0.0023632871,100.0,183.0,17.0,957.0,98.0,69.0,10.0,257.0,225.0,243.0,232.0,90.0,32.0,6470.0,254.0,-20.0,274.0,107.0,94.0
70,70,865747771,Sus scrofa,46.17787,5.95009,POINT (5.95009 46.17787),1,2.2739313,134.0,20.0,814.33,30.07,0.23,18.25,136.89,39564.0,20506.5,31.0,125.0,5.0,16.72,48.89,4739.27,129.93,15.71,94.25,142.0,72.0,0.020766625,91.0,173.0,8.0,1053.0,102.0,74.0,9.0,282.0,252.0,259.0,267.0,89.0,32.0,6399.0,242.0,-29.0,271.0,19.0,49.0
71,71,858412131,Sus scrofa,41.472839,2.083267,POINT (2.083267 41.472839),1,3.5390458,141.0,20.0,902.2,49.64,-0.33,14.8,95.09,69318.0,69318.0,123.0,200.0,10.0,30.34,42.08,4065.94,111.85,57.92,342.0,67.0,75.0,0.011887039,160.0,230.0,96.0,604.0,81.0,28.0,28.0,208.0,118.0,151.0,119.0,71.0,32.0,5277.0,278.0,59.0,219.0,170.0,103.0
72,72,858411668,Sus scrofa,41.491032,2.137497,POINT (2.137497 41.491032),1,1.7155185,133.0,21.0,895.66,48.08,-0.31,14.8,97.48,68652.0,68652.0,122.0,199.0,9.0,30.11,41.63,4047.64,111.41,57.52,339.0,206.0,49.0,0.021067014,159.0,229.0,95.0,619.0,83.0,29.0,28.0,213.0,122.0,155.0,123.0,70.0,31.0,5261.0,277.0,58.0,219.0,169.0,102.0
73,73,858410350,Sus scrofa,42.0793,1.1826,POINT (1.1826 42.0793),1,2.5036156,136.0,18.0,910.57,36.19,-0.2,16.55,99.05,50724.0,39780.0,75.0,150.0,6.0,26.08,26.08,4534.86,135.06,109.61,195.0,35.0,75.0,0.021375967,117.0,194.0,44.0,726.0,85.0,38.0,24.0,229.0,128.0,201.0,128.0,91.0,35.0,5885.0,259.0,3.0,256.0,136.0,44.0
74,74,858406768,Sus scrofa,41.750307,2.123079,POINT (2.123079 41.750307),1,4.027107,136.0,18.0,827.19,35.05,-0.08,15.35,116.19,53136.0,53136.0,85.0,163.0,6.0,25.83,25.83,3979.8,107.71,80.8,229.0,35.0,75.0,0.02104531,123.0,196.0,57.0,763.0,89.0,39.0,24.0,234.0,137.0,205.0,137.0,74.0,32.0,5508.0,250.0,21.0,229.0,172.0,57.0
75,75,858404004,Sus scrofa,41.381583,2.075068,POINT (2.075068 41.381583),1,2.9928932,142.0,24.0,907.07,50.67,-0.33,14.5,97.6,70722.0,70722.0,128.0,202.0,11.0,31.14,43.03,4023.65,111.54,58.36,355.0,96.0,77.0,0.0029079774,164.0,232.0,101.0,612.0,89.0,25.0,31.0,220.0,120.0,149.0,123.0,71.0,32.0,5172.0,279.0,63.0,216.0,174.0,107.0
