,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species
224227,1057480,1436981455,PhysicalObject,PRESERVED_SPECIMEN,1956-01-01T00:00:00Z,-1.516667,30.433333,8138eb72-f762-11e1-a439-00145eb45e9a,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224363,1057616,1437739372,,HUMAN_OBSERVATION,2006-07-09T00:00:00Z,-0.626432,30.979566,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224376,1057629,1437739405,,HUMAN_OBSERVATION,2006-07-26T00:00:00Z,-0.6316689999999999,30.982699,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224387,1057640,1437739420,,HUMAN_OBSERVATION,2006-04-03T00:00:00Z,-0.6316689999999999,30.982699,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224396,1057649,1437739433,,HUMAN_OBSERVATION,2006-07-23T00:00:00Z,-0.534754,31.018273999999998,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224413,1057666,1437739459,,HUMAN_OBSERVATION,2007-07-15T00:00:00Z,-0.6030260000000001,30.937596000000003,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224425,1057678,1437739475,,HUMAN_OBSERVATION,2006-07-07T00:00:00Z,-0.6316689999999999,30.982699,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224432,1057685,1437739484,,HUMAN_OBSERVATION,2006-11-02T00:00:00Z,-0.603115,30.935126,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224435,1057688,1437739487,,HUMAN_OBSERVATION,2007-07-26T00:00:00Z,-0.625709,30.979197999999997,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224461,1057714,1437739515,,HUMAN_OBSERVATION,2006-11-18T00:00:00Z,-0.5367529999999999,31.021588,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224467,1057720,1437739521,,HUMAN_OBSERVATION,2006-04-21T00:00:00Z,-0.6030260000000001,30.937596000000003,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224478,1057731,1437739532,,HUMAN_OBSERVATION,2007-04-29T00:00:00Z,-0.626432,30.979566,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
224480,1057733,1437739536,,HUMAN_OBSERVATION,2006-07-11T00:00:00Z,-0.603115,30.935126,c1f425be-cf91-4df4-ac10-f48066facf52,0,Taurotragus oryx,105880,5220167,Taurotragus oryx
