band	mean	std_dev
1	3.0967334982979704	1.810682279765754
2	124.00510517538984	24.484452520906135
3	17.9245231966302	10.943578349472764
4	1040.2050594112438	612.1019079586871
5	55.52288409615112	26.38862182379562
6	-0.23930898219302368	0.48568755934162894
7	23.380982717722805	14.392165314522165
8	122.2044813677157	203.25845848236685
9	50267.2603718805	44785.25320234522
10	48078.02155551426	45903.11946619539
11	17.203285386831258	216.58637415959868
12	138.69450685315394	83.65080532332583
13	6.549617078956286	4.710975430171689
14	46.28196718444267	51.66556738776941
15	72.63039101015511	68.70970256838675
16	3953.813758922618	1743.476716233462
17	136.92850406095255	51.058432764068755
18	109.02378767175698	51.48968677214009
19	158.4367324362436	395.6031854899407
20	371.3911035187616	691.2341639782737
21	59.15196646101024	12.111473104818664
22	0.014850316823467956	0.023800084177309347
23	81.4174152009707	148.17857345221398
24	185.63930346192106	96.60503178883098
25	-25.22226560706595	203.98573321545413
26	709.2351022431723	686.5840095324861
27	117.3085359812988	112.19035268672883
28	21.096207342936623	31.71138135506083
29	60.32065354488028	33.870260625676984
30	310.6307839539448	298.3216805970837
31	74.11459157161087	105.37716361652902
32	210.19438265869417	188.69418154964245
33	129.34639192837858	207.64327470751155
34	110.88932390332418	31.340964985024073
35	38.19100534537226	20.66571926539352
36	8282.274888993343	5200.29072502881
37	257.45225522239593	103.29954319730187
38	-90.04244028814726	199.87597040049064
39	347.49504530995506	138.08414735624038
40	152.32171649289356	105.74997712231337
41	23.70274667022251	204.95197759352482
