,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
0,21971,855224,1319753797,PhysicalObject,PRESERVED_SPECIMEN,1972-01-19 00:00:00+00:00,2.98,102.25,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Tragulus kanchil ravus,105172,5706430,Tragulus kanchil,2,2,POINT (102.25 2.98),"(102.25, 2.98)",True,1972,1
1,21976,855229,1319782757,PhysicalObject,PRESERVED_SPECIMEN,1969-10-12 00:00:00+00:00,3.1417,101.47,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Tragulus kanchil ravus,105172,5706430,Tragulus kanchil,4,2,POINT (101.47 3.1417),"(101.47, 3.1417)",True,1969,10
4,23017,856270,1586154493,,HUMAN_OBSERVATION,2016-03-04 02:47:52+00:00,12.859444,99.560278,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tragulus kanchil,105146,7261464,Tragulus kanchil,6,6,POINT (99.560278 12.859444),"(99.560278, 12.859444)",True,2016,3
5,70373,903626,1099960040,,HUMAN_OBSERVATION,2009-02-21 10:19:00+00:00,1.370015,103.823075,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tragulus kanchil,105146,7261464,Tragulus kanchil,6,6,POINT (103.823075 1.370015),"(103.823075, 1.370015)",True,2009,2
10,268071,1101324,1453379083,,HUMAN_OBSERVATION,2017-01-16 13:25:00+00:00,12.859497,99.56028,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tragulus kanchil,105146,7261464,Tragulus kanchil,6,5,POINT (99.56028000000001 12.859497),"(99.56028, 12.859497)",True,2017,1
11,293119,1126372,1836562886,,HUMAN_OBSERVATION,2018-02-24 13:38:00+00:00,12.859447,99.560272,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tragulus kanchil,105146,7261464,Tragulus kanchil,6,6,POINT (99.560272 12.859447),"(99.560272, 12.859447)",True,2018,2
13,313764,1147017,1920827842,,HUMAN_OBSERVATION,2018-10-09 08:46:00+00:00,12.883641,99.575437,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tragulus kanchil,105146,7261464,Tragulus kanchil,6,6,POINT (99.57543699999999 12.883641),"(99.575437, 12.883641)",True,2018,10
14,335286,1168539,1291071861,,HUMAN_OBSERVATION,2016-02-29 00:00:00+00:00,12.852913,99.575593,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tragulus kanchil,105146,7261464,Tragulus kanchil,6,6,POINT (99.575593 12.852913),"(99.575593, 12.852913)",True,2016,2
16,420888,1254141,1339789732,,HUMAN_OBSERVATION,2012-03-23 00:00:00+00:00,5.166667,118.75,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Tragulus kanchil klossi,105160,5706478,Tragulus kanchil,6,2,POINT (118.75 5.166667),"(118.75, 5.166667)",True,2012,3
17,544027,1377280,1898844792,,HUMAN_OBSERVATION,2013-09-15 17:28:27+00:00,4.998606,117.790947,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tragulus kanchil,105146,7261464,Tragulus kanchil,6,6,POINT (117.790947 4.998606),"(117.790947, 4.998606)",True,2013,9
18,563704,1396957,1640133841,,HUMAN_OBSERVATION,2012-01-21 10:14:36+00:00,1.377105,103.826358,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tragulus kanchil,105146,7261464,Tragulus kanchil,6,6,POINT (103.826358 1.377105),"(103.826358, 1.377105)",True,2012,1
19,585885,1419138,1580413107,,HUMAN_OBSERVATION,2009-11-05 00:00:00+00:00,4.965772,117.689499,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Tragulus kanchil,105146,7261464,Tragulus kanchil,6,6,POINT (117.689499 4.965772),"(117.689499, 4.965772)",True,2009,11
22,731493,1564746,1317950625,PhysicalObject,PRESERVED_SPECIMEN,1971-05-22 00:00:00+00:00,6.02,116.87,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Tragulus kanchil ravus,105172,5706430,Tragulus kanchil,2,2,POINT (116.87 6.02),"(116.87, 6.02)",True,1971,5
27,757391,1590644,1838022197,,HUMAN_OBSERVATION,2014-01-20 17:38:00+00:00,12.842978,99.592734,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Tragulus kanchil,105146,7261464,Tragulus kanchil,6,6,POINT (99.59273399999999 12.842978),"(99.592734, 12.842978)",True,2014,1
