,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
2,59928,893181,1831238143,,HUMAN_OBSERVATION,2018-02-03 05:45:00+00:00,4.852718,117.660356,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus barbatus,105027,7261473,Sus barbatus,6,6,POINT (117.660356 4.852718),"(117.660356, 4.852718)",True,2018,2
3,119192,952445,1668891045,,HUMAN_OBSERVATION,2015-08-03 18:35:00+00:00,4.77001,116.89028799999998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus,105025,2441222,Sus barbatus,5,14,POINT (116.890288 4.77001),"(116.89028799999998, 4.77001)",True,2015,8
4,203685,1036938,891741533,,HUMAN_OBSERVATION,2013-09-14 03:07:40+00:00,4.950846,117.964569,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus,105025,2441222,Sus barbatus,6,6,POINT (117.964569 4.950846),"(117.964569, 4.950846)",True,2013,9
6,246047,1079300,923452084,,HUMAN_OBSERVATION,2012-03-07 00:00:00+00:00,1.709077,110.436035,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Sus barbatus,105025,2441222,Sus barbatus,6,6,POINT (110.436035 1.709077),"(110.436035, 1.709077)",True,2012,3
8,275325,1108578,1831189387,,HUMAN_OBSERVATION,2018-01-07 18:25:00+00:00,1.700046,110.470058,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus barbatus,105027,7261473,Sus barbatus,6,6,POINT (110.470058 1.700046),"(110.470058, 1.700046)",True,2018,1
9,275471,1108724,1831200252,,HUMAN_OBSERVATION,2017-07-03 13:52:00+00:00,4.846373000000002,117.81123999999998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus barbatus,105027,7261473,Sus barbatus,15,14,POINT (117.81124 4.846373000000002),"(117.81123999999998, 4.846373000000002)",True,2017,7
10,275492,1108745,1831204076,,HUMAN_OBSERVATION,2011-05-18 11:58:00+00:00,1.730305,110.466174,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus,105025,2441222,Sus barbatus,6,6,POINT (110.466174 1.730305),"(110.466174, 1.730305)",True,2011,5
12,292615,1125868,665802844,PhysicalObject,PRESERVED_SPECIMEN,1929-08-20 00:00:00+00:00,5.83333,118.23333,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0,Sus barbatus,105025,2441222,Sus barbatus,5,5,POINT (118.23333 5.83333),"(118.23333, 5.83333)",True,1929,8
14,292933,1126186,665831168,PhysicalObject,PRESERVED_SPECIMEN,1950-05-20 00:00:00+00:00,5.53333,118.550003,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0,Sus barbatus,105025,2441222,Sus barbatus,5,6,POINT (118.550003 5.53333),"(118.550003, 5.53333)",True,1950,5
16,310450,1143703,1453049599,,HUMAN_OBSERVATION,2014-11-23 00:00:00+00:00,4.8110230000000005,117.611309,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus barbatus,105027,7261473,Sus barbatus,16,6,POINT (117.611309 4.811023),"(117.611309, 4.8110230000000005)",True,2014,11
24,402965,1236218,1838329448,,HUMAN_OBSERVATION,2017-10-15 06:23:00+00:00,5.049096,117.783723,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus barbatus,105027,7261473,Sus barbatus,6,6,POINT (117.783723 5.049096),"(117.783723, 5.049096)",True,2017,10
33,562734,1395987,1052591759,,HUMAN_OBSERVATION,2014-11-22 00:00:00+00:00,4.92896,117.690482,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus barbatus,105027,7261473,Sus barbatus,5,6,POINT (117.690482 4.92896),"(117.690482, 4.92896)",True,2014,11
34,562995,1396248,1640054168,,HUMAN_OBSERVATION,2017-08-26 19:49:01+00:00,-2.8387990000000003,111.95096399999998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus,105025,2441222,Sus barbatus,16,14,POINT (111.950964 -2.838799),"(111.95096399999998, -2.8387990000000003)",True,2017,8
35,565285,1398538,1671728729,,HUMAN_OBSERVATION,2010-07-03 07:20:00+00:00,1.929735,103.917943,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus,105025,2441222,Sus barbatus,6,6,POINT (103.917943 1.929735),"(103.917943, 1.929735)",True,2010,7
205,658464,1491717,1703133395,,HUMAN_OBSERVATION,2017-06-30 02:10:00+00:00,4.705069,116.899086,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus barbatus,105027,7261473,Sus barbatus,6,6,POINT (116.899086 4.705069),"(116.899086, 4.705069)",True,2017,6
206,658465,1491718,1703133397,,HUMAN_OBSERVATION,2017-06-30 14:47:00+00:00,4.699659,116.805283,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus barbatus,105027,7261473,Sus barbatus,6,6,POINT (116.805283 4.699659),"(116.805283, 4.699659)",True,2017,6
207,755451,1588704,1703211481,,HUMAN_OBSERVATION,2017-06-07 09:52:00+00:00,1.695611,110.45913600000002,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Sus barbatus barbatus,105027,7261473,Sus barbatus,6,14,POINT (110.459136 1.695611),"(110.45913600000002, 1.695611)",True,2017,6
