,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
0,21510,854763,1677290302,,HUMAN_OBSERVATION,2016-08-04 07:55:00+00:00,-20.573293,-59.801365,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,6,6,POINT (-59.801365 -20.573293),"(-59.801365, -20.573293)",True,2016,8
1,21521,854774,1677290473,,HUMAN_OBSERVATION,2016-07-30 07:48:00+00:00,-22.232352,-60.24708,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,6,5,POINT (-60.24708 -22.232352),"(-60.24708, -22.232352)",True,2016,7
2,209078,1042331,686461927,PhysicalObject,PRESERVED_SPECIMEN,1974-07-21 00:00:00+00:00,-22.0167,-60.2568,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,4,4,POINT (-60.2568 -22.0167),"(-60.2568, -22.0167)",True,1974,7
3,223814,1057067,1436950728,PhysicalObject,PRESERVED_SPECIMEN,1975-11-06 00:00:00+00:00,-20.833333,-59.833333,8138eb72-f762-11e1-a439-00145eb45e9a,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,6,6,POINT (-59.833333 -20.833333),"(-59.833333, -20.833333)",True,1975,11
6,291653,1124906,665728661,PhysicalObject,PRESERVED_SPECIMEN,1995-07-18 00:00:00+00:00,-22.3547,-60.339699,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,4,6,POINT (-60.339699 -22.3547),"(-60.339699, -22.3547)",True,1995,7
13,292882,1126135,665823099,PhysicalObject,PRESERVED_SPECIMEN,1975-07-15 00:00:00+00:00,-21.75,-60.919998,41fc5c40-5e81-496f-9733-6b5681b3b7a5,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,2,6,POINT (-60.919998 -21.75),"(-60.919998, -21.75)",True,1975,7
14,386345,1219598,919430188,PhysicalObject,PRESERVED_SPECIMEN,1975-07-20 00:00:00+00:00,-21.0833,-61.1333,22a66350-7947-4a49-84a3-39c7c1b0881f,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,4,4,POINT (-61.1333 -21.0833),"(-61.1333, -21.0833)",True,1975,7
15,413417,1246670,699206490,,HUMAN_OBSERVATION,2010-05-15 00:00:00+00:00,-24.2964,-61.79827,e2483380-16f7-11df-b5b3-b8a03c50a862,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,4,5,POINT (-61.79827 -24.2964),"(-61.79827, -24.2964)",True,2010,5
17,557280,1390533,1065393744,PhysicalObject,PRESERVED_SPECIMEN,1976-07-17 00:00:00+00:00,-21.45,-61.9052,7a25f7aa-03fb-4322-aaeb-66719e1a9527,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,2,4,POINT (-61.9052 -21.45),"(-61.9052, -21.45)",True,1976,7
19,633010,1466263,197034407,,HUMAN_OBSERVATION,1990-06-01 00:00:00+00:00,-18.75,-62.217,4d749d70-e2e1-11dd-8102-b8a03c50a862,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,2,3,POINT (-62.217 -18.75),"(-62.217, -18.75)",True,1990,6
21,644935,1478188,784015204,PhysicalObject,PRESERVED_SPECIMEN,1976-08-10 00:00:00+00:00,-20.63333,-59.86666999999999,6d2cfc0a-9903-40b8-802b-403398218e4a,0,Catagonus wagneri,105070,2440998,Catagonus wagneri,5,14,POINT (-59.86666999999999 -20.63333),"(-59.86666999999999, -20.63333)",True,1976,8
