,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
0,35991,869244,1880462210,,HUMAN_OBSERVATION,2018-05-06 14:41:00+00:00,-32.803602000000005,27.827584,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Philantomba monticola monticola,106135,7261462,Philantomba monticola,15,6,POINT (27.827584 -32.80360200000001),"(27.827584, -32.803602000000005)",True,2018,5
1,36857,870110,1880584276,,HUMAN_OBSERVATION,2018-06-27 12:36:00+00:00,-28.83073,31.434545,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Philantomba monticola bicolor,106138,4262778,Philantomba monticola,5,6,POINT (31.434545 -28.83073),"(31.434545, -28.83073)",True,2018,6
2,37024,870277,1880607670,,HUMAN_OBSERVATION,2018-06-30 15:09:00+00:00,-30.376182,30.629058,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Philantomba monticola bicolor,106138,4262778,Philantomba monticola,6,6,POINT (30.629058 -30.376182),"(30.629058, -30.376182)",True,2018,6
3,37025,870278,1880607750,,HUMAN_OBSERVATION,2018-06-30 14:34:00+00:00,-30.374952,30.699797,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Philantomba monticola bicolor,106138,4262778,Philantomba monticola,6,6,POINT (30.699797 -30.374952),"(30.699797, -30.374952)",True,2018,6
4,37143,870396,1880622750,,HUMAN_OBSERVATION,2018-07-01 11:04:00+00:00,-28.924718,31.737572,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Philantomba monticola bicolor,106138,4262778,Philantomba monticola,6,6,POINT (31.737572 -28.924718),"(31.737572, -28.924718)",True,2018,7
5,37449,870702,1880660785,,HUMAN_OBSERVATION,2018-07-07 10:05:00+00:00,-30.260685,30.650545,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Philantomba monticola bicolor,106138,4262778,Philantomba monticola,6,6,POINT (30.650545 -30.260685),"(30.650545, -30.260685)",True,2018,7
6,67472,900725,1847509526,,HUMAN_OBSERVATION,2017-12-02 05:06:00+00:00,-18.937818,32.678647999999995,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Philantomba monticola,106133,7261461,Philantomba monticola,6,15,POINT (32.678648 -18.937818),"(32.678647999999995, -18.937818)",True,2017,12
30,70449,903702,1099973533,,HUMAN_OBSERVATION,2015-06-25 18:15:18+00:00,-14.299425,18.849932,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Philantomba monticola,106133,7261461,Philantomba monticola,6,6,POINT (18.849932 -14.299425),"(18.849932, -14.299425)",True,2015,6
31,81755,915008,1039517070,PhysicalObject,PRESERVED_SPECIMEN,2003-03-31 00:00:00+00:00,1.2312,11.0148,854f602e-f762-11e1-a439-00145eb45e9a,0,Philantomba monticola congicus,106139,4262769,Philantomba monticola,4,4,POINT (11.0148 1.2312),"(11.0148, 1.2312)",True,2003,3
34,114961,948214,1913705543,,HUMAN_OBSERVATION,2018-08-19 09:06:00+00:00,-28.9916,31.453112,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Philantomba monticola bicolor,106138,4262778,Philantomba monticola,4,6,POINT (31.453112 -28.9916),"(31.453112, -28.9916)",True,2018,8
36,134273,967526,1890719885,,HUMAN_OBSERVATION,2018-08-08 09:58:00+00:00,-30.222618,30.752284000000003,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Philantomba monticola bicolor,106138,4262778,Philantomba monticola,6,15,POINT (30.752284 -30.222618),"(30.752284000000003, -30.222618)",True,2018,8
37,209197,1042450,686478895,PhysicalObject,PRESERVED_SPECIMEN,1951-04-30 00:00:00+00:00,1.999999,28.499997,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,0,Philantomba monticola,106133,7261461,Philantomba monticola,6,6,POINT (28.499997 1.999999),"(28.499997, 1.999999)",True,1951,4
43,223728,1056981,1436944963,PhysicalObject,PRESERVED_SPECIMEN,1946-09-02 00:00:00+00:00,1.05,29.15,8138eb72-f762-11e1-a439-00145eb45e9a,0,Cephalophus monticola,106133,2441160,Philantomba monticola,2,2,POINT (29.15 1.05),"(29.15, 1.05)",True,1946,9
44,223760,1057013,1436947301,PhysicalObject,PRESERVED_SPECIMEN,1952-04-19 00:00:00+00:00,4.666667,29.55,8138eb72-f762-11e1-a439-00145eb45e9a,0,Cephalophus monticola,106133,2441160,Philantomba monticola,6,2,POINT (29.55 4.666667),"(29.55, 4.666667)",True,1952,4
