,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
0,22319,855572,1584424698,,HUMAN_OBSERVATION,2017-07-25 11:28:00+00:00,-1.472795,29.49011,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus nigrifrons,106099,2441154,Cephalophus nigrifrons,6,5,POINT (29.49011 -1.472795),"(29.49011, -1.472795)",True,2017,7
1,66941,900194,1847411227,,HUMAN_OBSERVATION,2017-12-08 12:34:00+00:00,0.238609,29.923209000000003,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus nigrifrons rubidus,106106,4262476,Cephalophus nigrifrons,6,15,POINT (29.923209 0.238609),"(29.923209000000003, 0.238609)",True,2017,12
2,223664,1056917,1436940668,PhysicalObject,PRESERVED_SPECIMEN,1937-06-01 00:00:00+00:00,0.333333,29.833333000000003,8138eb72-f762-11e1-a439-00145eb45e9a,0,Cephalophus nigrifrons,106099,2441154,Cephalophus nigrifrons,6,15,POINT (29.833333 0.333333),"(29.833333000000003, 0.333333)",True,1937,6
3,223850,1057103,1436954837,PhysicalObject,PRESERVED_SPECIMEN,1938-04-20 00:00:00+00:00,-1.383333,29.033333,8138eb72-f762-11e1-a439-00145eb45e9a,0,Cephalophus nigrifrons,106099,2441154,Cephalophus nigrifrons,6,6,POINT (29.033333 -1.383333),"(29.033333, -1.383333)",True,1938,4
6,224029,1057282,1436968162,PhysicalObject,PRESERVED_SPECIMEN,1934-01-01 00:00:00+00:00,-1.566667,29.033333,8138eb72-f762-11e1-a439-00145eb45e9a,0,Cephalophus nigrifrons kivuensis,106105,4262462,Cephalophus nigrifrons,6,6,POINT (29.033333 -1.566667),"(29.033333, -1.566667)",True,1934,1
7,224091,1057344,1436971121,PhysicalObject,PRESERVED_SPECIMEN,1947-01-25 00:00:00+00:00,0.583333,29.916667,8138eb72-f762-11e1-a439-00145eb45e9a,0,Cephalophus nigrifrons,106099,2441154,Cephalophus nigrifrons,6,6,POINT (29.916667 0.583333),"(29.916667, 0.583333)",True,1947,1
11,274763,1108016,1831086000,,HUMAN_OBSERVATION,2017-07-27 00:00:00+00:00,-1.051165,29.775984,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus nigrifrons,106099,2441154,Cephalophus nigrifrons,6,6,POINT (29.775984 -1.051165),"(29.775984, -1.051165)",True,2017,7
12,313180,1146433,1901053418,,HUMAN_OBSERVATION,2018-08-04 07:50:00+00:00,-1.06223,29.782198,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus nigrifrons,106099,2441154,Cephalophus nigrifrons,5,6,POINT (29.782198 -1.06223),"(29.782198, -1.06223)",True,2018,8
13,314560,1147813,891072674,,HUMAN_OBSERVATION,2010-06-17 09:53:00+00:00,-1.0806,29.6614,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Cephalophus nigrifrons,106099,2441154,Cephalophus nigrifrons,4,4,POINT (29.6614 -1.0806),"(29.6614, -1.0806)",True,2010,6
15,386281,1219534,919425235,PhysicalObject,PRESERVED_SPECIMEN,1983-02-04 00:00:00+00:00,1.25,28.35,22a66350-7947-4a49-84a3-39c7c1b0881f,0,Cephalophus nigrifrons,106099,2441154,Cephalophus nigrifrons,2,2,POINT (28.35 1.25),"(28.35, 1.25)",True,1983,2
