,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
4,20514,853767,1676865475,,HUMAN_OBSERVATION,2017-09-26 00:00:00+00:00,-2.639218,37.199364,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,6,POINT (37.199364 -2.639218),"(37.199364, -2.639218)",True,2017,9
5,20515,853768,1676869247,,HUMAN_OBSERVATION,2017-09-23 00:00:00+00:00,-19.169016,16.106644,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,6,POINT (16.106644 -19.169016),"(16.106644, -19.169016)",True,2017,9
6,20516,853769,1676869946,,HUMAN_OBSERVATION,2011-08-23 00:00:00+00:00,-18.759207,16.660151000000006,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,15,POINT (16.66015100000001 -18.759207),"(16.660151000000006, -18.759207)",True,2011,8
7,20517,853770,1676871099,,HUMAN_OBSERVATION,2017-03-25 00:00:00+00:00,-23.237738,18.389986,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,6,POINT (18.389986 -23.237738),"(18.389986, -23.237738)",True,2017,3
8,20518,853771,1676879875,,HUMAN_OBSERVATION,2006-07-23 00:00:00+00:00,-25.162979,31.617205,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,6,POINT (31.617205 -25.162979),"(31.617205, -25.162979)",True,2006,7
15,20526,853779,1676893083,,HUMAN_OBSERVATION,2006-07-16 00:00:00+00:00,-28.144659000000004,32.047119,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,15,6,POINT (32.047119 -28.144659),"(32.047119, -28.144659000000004)",True,2006,7
20,20531,853784,1676902670,,HUMAN_OBSERVATION,2011-12-28 00:00:00+00:00,-3.059611,36.184158,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,6,POINT (36.184158 -3.059611),"(36.184158, -3.059611)",True,2011,12
23,20535,853788,1676903868,,HUMAN_OBSERVATION,2013-09-15 00:00:00+00:00,-1.2276280000000002,35.027161,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,16,6,POINT (35.027161 -1.227628),"(35.027161, -1.2276280000000002)",True,2013,9
27,20541,853794,1676908317,,HUMAN_OBSERVATION,2017-09-06 00:00:00+00:00,-17.859175,25.820225,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,6,POINT (25.820225 -17.859175),"(25.820225, -17.859175)",True,2017,9
28,20542,853795,1676910198,,HUMAN_OBSERVATION,1989-12-21 00:00:00+00:00,-1.5735940000000002,35.202942,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,16,6,POINT (35.202942 -1.573594),"(35.202942, -1.5735940000000002)",True,1989,12
29,20543,853796,1676912409,,HUMAN_OBSERVATION,2016-11-21 00:00:00+00:00,-4.077973,36.044769,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,6,POINT (36.044769 -4.077973),"(36.044769, -4.077973)",True,2016,11
31,20545,853798,1676914245,,HUMAN_OBSERVATION,2017-09-23 00:00:00+00:00,-2.619326,34.74700900000001,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,14,POINT (34.74700900000001 -2.619326),"(34.74700900000001, -2.619326)",True,2017,9
40,21557,854810,1677294337,,HUMAN_OBSERVATION,2017-10-11 00:00:00+00:00,-24.96863,31.606979,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,5,6,POINT (31.606979 -24.96863),"(31.606979, -24.96863)",True,2017,10
41,21644,854897,1677303355,,HUMAN_OBSERVATION,2013-12-20 08:42:00+00:00,-26.174856,31.982606,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,6,6,POINT (31.982606 -26.174856),"(31.982606, -26.174856)",True,2013,12
42,22237,855490,1584414510,,HUMAN_OBSERVATION,2009-11-08 08:22:00+00:00,-24.26069,31.645488,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,5,6,POINT (31.645488 -24.26069),"(31.645488, -24.26069)",True,2009,11
43,22356,855609,1584428376,,HUMAN_OBSERVATION,2017-07-15 12:36:47+00:00,-1.529435,35.123022,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus mearnsi,105609,4262643,Connochaetes taurinus,6,6,POINT (35.123022 -1.529435),"(35.123022, -1.529435)",True,2017,7
44,22407,855660,1584435090,,HUMAN_OBSERVATION,2017-07-24 12:32:00+00:00,-7.634497,38.057453,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus johnstoni,105608,4262645,Connochaetes taurinus,6,6,POINT (38.057453 -7.634497),"(38.057453, -7.634497)",True,2017,7
45,22409,855662,1584435159,,HUMAN_OBSERVATION,2017-07-24 12:20:00+00:00,-7.637463,38.069888,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,6,POINT (38.069888 -7.637463),"(38.069888, -7.637463)",True,2017,7
50,22760,856013,1586114698,,HUMAN_OBSERVATION,2012-05-29 09:22:00+00:00,-22.278145,28.94638,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,6,5,POINT (28.94638 -22.278145),"(28.94638, -22.278145)",True,2012,5
53,22896,856149,1586137009,,HUMAN_OBSERVATION,2017-07-07 00:00:15+00:00,-1.894797,35.485841,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus mearnsi,105609,4262643,Connochaetes taurinus,6,6,POINT (35.485841 -1.894797),"(35.485841, -1.894797)",True,2017,7
54,22898,856151,1586137195,,HUMAN_OBSERVATION,2017-07-08 00:00:11+00:00,-1.4692610000000002,35.095824,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus mearnsi,105609,4262643,Connochaetes taurinus,16,6,POINT (35.095824 -1.469261),"(35.095824, -1.4692610000000002)",True,2017,7
55,29149,862402,1890050952,,HUMAN_OBSERVATION,2018-07-27 09:31:00+00:00,-28.694046000000004,31.9921,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,15,4,POINT (31.9921 -28.694046),"(31.9921, -28.694046000000004)",True,2018,7
58,29219,862472,1890058305,,HUMAN_OBSERVATION,2015-12-04 00:00:00+00:00,-26.8972,32.2738,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,4,4,POINT (32.2738 -26.8972),"(32.2738, -26.8972)",True,2015,12
60,29305,862558,1890070540,,HUMAN_OBSERVATION,2007-01-14 11:18:00+00:00,-27.901269,32.271499,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,6,6,POINT (32.271499 -27.901269),"(32.271499, -27.901269)",True,2007,1
62,29416,862669,1890073952,,HUMAN_OBSERVATION,2018-07-29 07:05:00+00:00,-25.15071,31.30083,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,5,5,POINT (31.30083 -25.15071),"(31.30083, -25.15071)",True,2018,7
63,29520,862773,1890087411,,HUMAN_OBSERVATION,2018-06-04 08:34:00+00:00,-18.858737,16.924889,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,6,6,POINT (16.924889 -18.858737),"(16.924889, -18.858737)",True,2018,6
64,29576,862829,1890093698,,HUMAN_OBSERVATION,2018-06-04 11:54:00+00:00,-18.8859,16.801542,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,4,6,POINT (16.801542 -18.8859),"(16.801542, -18.8859)",True,2018,6
65,35968,869221,1880457580,,HUMAN_OBSERVATION,2008-01-04 00:00:00+00:00,-28.8555,27.265,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,4,3,POINT (27.265 -28.8555),"(27.265, -28.8555)",True,2008,1
66,36068,869321,1880471767,,HUMAN_OBSERVATION,2018-05-27 15:13:00+00:00,-7.346363,37.134028,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,6,POINT (37.134028 -7.346363),"(37.134028, -7.346363)",True,2018,5
67,36147,869400,1880483699,,HUMAN_OBSERVATION,2018-05-10 17:17:00+00:00,-22.931938,17.490130999999998,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,6,15,POINT (17.490131 -22.931938),"(17.490130999999998, -22.931938)",True,2018,5
68,36154,869407,1880483926,,HUMAN_OBSERVATION,2018-05-11 11:06:00+00:00,-24.192065,17.994447,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,6,6,POINT (17.994447 -24.192065),"(17.994447, -24.192065)",True,2018,5
70,36201,869454,1880491685,,HUMAN_OBSERVATION,2018-05-13 14:41:00+00:00,-25.648678,19.881783,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus taurinus,105605,7261434,Connochaetes taurinus,6,6,POINT (19.881783 -25.648678),"(19.881783, -25.648678)",True,2018,5
71,36238,869491,1880498366,,HUMAN_OBSERVATION,2018-04-04 16:38:04+00:00,-1.459047,34.963806,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Connochaetes taurinus,105603,2441105,Connochaetes taurinus,6,6,POINT (34.963806 -1.459047),"(34.963806, -1.459047)",True,2018,4
