,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
1,21660,854913,1677305106,,HUMAN_OBSERVATION,2015-08-29 13:40:00+00:00,-16.698525,-56.83685300000001,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Mazama americana,105266,5220123,Mazama americana,6,14,POINT (-56.83685300000001 -16.698525),"(-56.83685300000001, -16.698525)",True,2015,8
2,21966,855219,1319724858,PhysicalObject,PRESERVED_SPECIMEN,1966-12-31 00:00:00+00:00,3.65,-65.77,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Mazama americana sheila,105275,5706266,Mazama americana,2,2,POINT (-65.77 3.65),"(-65.77, 3.65)",True,1966,12
5,22073,855326,1320373786,PhysicalObject,PRESERVED_SPECIMEN,1967-03-12 00:00:00+00:00,6.82,-63.48,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Mazama americana sheila,105275,5706266,Mazama americana,2,2,POINT (-63.48 6.82),"(-63.48, 6.82)",True,1967,3
6,22091,855344,1320523088,PhysicalObject,PRESERVED_SPECIMEN,1966-06-14 00:00:00+00:00,6.17,-61.35,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Mazama americana,105266,5220123,Mazama americana,2,2,POINT (-61.35 6.17),"(-61.35, 6.17)",True,1966,6
7,22096,855349,1320562050,PhysicalObject,PRESERVED_SPECIMEN,1966-06-22 00:00:00+00:00,6.32,-61.32,821cc27a-e3bb-4bc5-ac34-89ada245069d,0,Mazama americana sheila,105275,5706266,Mazama americana,2,2,POINT (-61.32 6.32),"(-61.32, 6.32)",True,1966,6
9,38399,871652,1881236347,,HUMAN_OBSERVATION,2011-09-17 00:00:00+00:00,4.01933,-54.28637,5818223b-9b8e-432c-9fca-cb4c43387e6a,0,Mazama americana,105266,5220123,Mazama americana,5,5,POINT (-54.28637 4.01933),"(-54.28637, 4.01933)",True,2011,9
13,38544,871797,1881505313,,HUMAN_OBSERVATION,2001-09-12 00:00:00+00:00,3.66137,-53.20566,24a988ee-bcb2-4ea3-99a3-a8994d6e8014,0,Mazama americana,105266,5220123,Mazama americana,5,5,POINT (-53.20566 3.66137),"(-53.20566, 3.66137)",True,2001,9
14,38550,871803,1881505320,,HUMAN_OBSERVATION,2000-09-30 00:00:00+00:00,3.66114,-53.29564,24a988ee-bcb2-4ea3-99a3-a8994d6e8014,0,Mazama americana,105266,5220123,Mazama americana,5,5,POINT (-53.29564 3.66114),"(-53.29564, 3.66114)",True,2000,9
18,38581,871834,1881505366,,HUMAN_OBSERVATION,2000-12-19 00:00:00+00:00,4.65705,-52.75788000000001,24a988ee-bcb2-4ea3-99a3-a8994d6e8014,0,Mazama americana,105266,5220123,Mazama americana,5,14,POINT (-52.75788000000001 4.65705),"(-52.75788000000001, 4.65705)",True,2000,12
19,38610,871863,1881505407,,HUMAN_OBSERVATION,2001-04-21 00:00:00+00:00,3.8446,-51.8556,24a988ee-bcb2-4ea3-99a3-a8994d6e8014,0,Mazama americana,105266,5220123,Mazama americana,4,4,POINT (-51.8556 3.8446),"(-51.8556, 3.8446)",True,2001,4
21,38614,871867,1881505411,,HUMAN_OBSERVATION,2000-09-30 00:00:00+00:00,3.57075,-53.29541,24a988ee-bcb2-4ea3-99a3-a8994d6e8014,0,Mazama americana,105266,5220123,Mazama americana,5,5,POINT (-53.29541 3.57075),"(-53.29541, 3.57075)",True,2000,9
