,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
327,306815,1140068,1291851770,,HUMAN_OBSERVATION,2008-07-08 00:00:00+00:00,12.076329,3.191864,8e912d78-6259-44e3-8f58-debb3081a15f,0,Kobus kob,106218,5220161,Kobus kob,6,6,POINT (3.191864 12.076329),"(3.191864, 12.076329)",True,2008,7
328,306834,1140087,1291851789,,HUMAN_OBSERVATION,2008-08-13 00:00:00+00:00,11.243179,1.603764,8e912d78-6259-44e3-8f58-debb3081a15f,0,Kobus kob,106218,5220161,Kobus kob,6,6,POINT (1.603764 11.243179),"(1.603764, 11.243179)",True,2008,8
329,310023,1143276,1806361553,,HUMAN_OBSERVATION,2018-01-25 18:15:00+00:00,11.512609,1.567292,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.567292 11.512609),"(1.567292, 11.512609)",True,2018,1
330,310054,1143307,1806365042,,HUMAN_OBSERVATION,2017-12-22 12:03:00+00:00,11.279892,1.4559030000000002,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,16,POINT (1.455903 11.279892),"(1.4559030000000002, 11.279892)",True,2017,12
331,312041,1145294,1453256906,,HUMAN_OBSERVATION,2016-11-19 14:18:00+00:00,-0.51,29.764294,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob thomasi,106226,5706375,Kobus kob,2,6,POINT (29.764294 -0.51),"(29.764294, -0.51)",True,2016,11
332,312044,1145297,1453257018,,HUMAN_OBSERVATION,2016-11-19 15:29:00+00:00,-0.6116689999999999,29.668975,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob thomasi,106226,5706375,Kobus kob,16,6,POINT (29.668975 -0.6116689999999999),"(29.668975, -0.6116689999999999)",True,2016,11
333,312053,1145306,1453258000,,HUMAN_OBSERVATION,2016-11-30 14:15:00+00:00,3.761272,29.524062,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob thomasi,106226,5706375,Kobus kob,6,6,POINT (29.524062 3.761272),"(29.524062, 3.761272)",True,2016,11
334,312890,1146143,1901037882,,HUMAN_OBSERVATION,2018-02-04 13:17:00+00:00,11.426135,1.286099,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.286099 11.426135),"(1.286099, 11.426135)",True,2018,2
335,312891,1146144,1901037884,,HUMAN_OBSERVATION,2018-06-09 11:58:00+00:00,11.465679,1.68222,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,5,POINT (1.68222 11.465679),"(1.68222, 11.465679)",True,2018,6
336,312897,1146150,1901037899,,HUMAN_OBSERVATION,2018-06-04 09:22:00+00:00,11.428063,1.291953,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.291953 11.428063),"(1.291953, 11.428063)",True,2018,6
