,AUC_pilot,AUC_extended,AUC_ext_gis
Aepyceros_melampus,0.9012921967344486,0.9506570363466916,0.9972897315180048
Alcelaphus_buselaphus,0.9569734513274336,0.9577542591636552,0.998585412776552
Alces_alces,0.9411572646471976,0.9879971878132912,0.996447505671586
Antidorcas_marsupialis,0.7214799884825799,0.7067333333333334,0.9972888888888888
Antilocapra_americana,0.8923710814714128,0.9288011204481792,0.9900325093541068
Antilope_cervicapra,0.4485651214128035,0.4684326710816776,0.5650909090909091
Axis_axis,0.5632820512820512,0.6078974358974358,0.9084303150723814
Axis_porcinus,0.2700000000000001,0.42200000000000004,0.2717948717948718
Bison_bison,0.9843252032520324,0.9817862674238512,0.999453734671126
Bison_bonasus,0.3508333333333333,0.4973333333333334,0.4182656826568266
Blastocerus_dichotomus,0.9724864539434076,0.9832,0.9988823529411764
Bos_javanicus,0.5720000000000001,0.7901666666666667,0.8517210144927537
Boselaphus_tragocamelus,0.3046666666666667,0.5842715231788079,0.9345454545454546
Capra_ibex,0.9146523178807946,0.9024285714285714,1.0
Capra_nubiana,0.5312000000000001,0.5346666666666666,0.6974169741697417
Capra_pyrenaica,0.9885957446808512,0.9822179487179488,0.9999286122215878
Capra_sibirica,0.4193333333333333,0.6266666666666667,0.41
Capreolus_capreolus,0.9094507601698398,0.9713661844951036,0.9975799378690492
Capreolus_pygargus,0.2854586129753915,0.583111111111111,0.4440389294403893
Capricornis_crispus,0.4706401766004415,0.52639545884579,1.0
Capricornis_swinhoei,0.6216335540838852,0.2657836644591612,0.4888068880688807
Catagonus_wagneri,0.37733333333333335,0.402,0.3837638376383764
Cephalophus_dorsalis,0.9981538461538462,0.992013422818792,0.9887912087912089
Cephalophus_jentinki,0.9949333333333332,0.2532450331125828,0.5166176470588235
Cephalophus_natalensis,0.6225225225225225,0.5943624161073826,0.5223443223443224
Cephalophus_niger,0.37615894039735104,0.3255555555555555,0.5987699876998771
Cephalophus_nigrifrons,0.527891156462585,0.3148648648648648,0.6484184914841851
Cephalophus_rufilatus,0.8781456953642384,0.8454310789881261,0.9997613700168444
Cephalophus_silvicultor,0.3777027027027027,0.4822147651006711,0.4462962962962964
Cephalophus_zebra,0.999939393939394,0.925142857142857,1.0
Ceratotherium_simum,0.957,0.9274131274131272,0.9977091691377404
Cervus_elaphus,0.9114417401148216,0.9739717655067291,0.9986319796954314
Cervus_nippon,0.4828888888888889,0.7331428571428571,0.9926485922836288
Connochaetes_gnou,0.4158940397350993,0.39288888888888895,0.5636029411764706
Connochaetes_taurinus,0.9219637358877864,0.9392247510668564,0.9992465923172243
Dama_dama,0.8729225137278828,0.9747889494429924,0.9983172105898952
Damaliscus_lunatus,0.605959731543624,0.655025641025641,0.9329044117647058
Damaliscus_pygargus,0.6287272727272727,0.7201111111111109,0.971340713407134
Diceros_bicornis,0.7020555555555557,0.7204704704704705,0.8914529914529915
Equus_grevyi,1.0,0.9974116475858636,1.0
Equus_hemionus,0.722399688352162,0.8045925925925926,0.9733821733821733
Equus_kiang,0.5426666666666666,0.376,0.3630996309963099
Equus_zebra,0.6215704824976348,0.4906666666666666,0.3292307692307692
Eudorcas_rufifrons,0.6439999999999999,0.30977777777777776,0.7311274509803922
Eudorcas_thomsonii,0.9820903094875698,0.9575342465753424,0.94574327886136
Gazella_bennettii,0.5258278145695364,0.43841059602648996,0.4515815085158151
Gazella_dorcas,0.9934444444444444,0.9829385113268608,0.9974469615246316
Gazella_gazella,0.9974272300469484,0.9984790985096328,1.0
Gazella_subgutturosa,0.5346666666666666,0.4290827740492171,0.5112745098039215
Giraffa_camelopardalis,0.8837248322147652,0.9218120805369128,0.9975196408529742
Hippopotamus_amphibius,0.8959181428099899,0.9183030303030302,0.994072594072594
Hippotragus_equinus,0.9899899749373434,0.9923745745153176,0.9999548226790153
Hippotragus_niger,0.3326418547895058,0.33374008541793776,0.8206550802139038
Hyemoschus_aquaticus,0.4440000000000001,0.6021476510067114,0.6518959107806692
Hylochoerus_meinertzhageni,0.3404026845637584,0.6539149888143176,0.6009876543209877
Kobus_ellipsiprymnus,0.8691372549019608,0.946968253968254,0.9976705882352942
Kobus_kob,0.9937398373983741,0.9989736070381229,0.9999510987017496
Kobus_leche,0.2166107382550336,0.4072866730584852,0.9857142857142857
Kobus_megaceros,0.4402402402402402,0.43594332587621176,0.9999183006535948
Kobus_vardonii,0.7334824757643549,0.798993288590604,0.9907063197026024
Litocranius_walleri,0.9023809523809524,0.9100186393289842,0.9790026919625688
Madoqua_guentheri,0.4583783783783784,0.5845945945945945,0.3144525547445255
Madoqua_kirkii,0.7520975056689341,0.6996756756756757,0.8162361623616234
Mazama_americana,0.9744166666666668,0.9727311827956991,0.9970219482414604
