,acc_pilot,acc_extended,acc_ext_gis
Aepyceros_melampus,0.8083333324503016,0.8941979524218588,0.9817307692307692
Alcelaphus_buselaphus,0.8958174908115837,0.889605736476119,0.9786600496277916
Alces_alces,0.8846153846153847,0.9631801891653188,0.9880341880382636
Antidorcas_marsupialis,0.6548223354792232,0.5820000000000001,0.984375
Antilocapra_americana,0.8131578947368421,0.8371747222974841,0.9715012722646309
Antilope_cervicapra,0.3766233774361673,0.4038961037412867,0.5906474817785428
Axis_axis,0.44785276091903264,0.5226993868687402,0.6457746487268261
Axis_porcinus,0.6407894724293758,0.9157894730567931,0.3200000001625581
Bison_bison,0.9570680582086452,0.9495327113944791,0.9941348973607038
Bison_bonasus,0.3075949379537679,0.5441558425786434,0.4734545451077549
Blastocerus_dichotomus,0.9514450867052024,0.9657142861230033,0.9925925925925926
Bos_javanicus,0.3013157897873929,0.6658227849610243,0.7880281686782837
Boselaphus_tragocamelus,0.1303797475899322,0.3069182371943252,0.5929328632860218
Capra_ibex,0.6335329347027989,0.9158536585365852,0.9951048951048952
Capra_nubiana,0.4361290338539308,0.2516129038218529,0.8550724635953488
Capra_pyrenaica,0.964467005076142,0.9464566911299398,0.9946666666666668
Capra_sibirica,0.1947368421444768,0.5342105256883721,0.5632352941176471
Capreolus_capreolus,0.842914980915394,0.9231610513318046,0.988346398370471
Capreolus_pygargus,0.42236842054285495,0.4601307173764783,0.3797833937169842
Capricornis_crispus,0.5222929918794496,0.3215189883414703,0.995729537366548
Capricornis_swinhoei,0.25714285817819754,0.5779220773995697,0.5459854019928152
Catagonus_wagneri,0.7960526316573745,0.4407894728607252,0.4827838831250266
Cephalophus_dorsalis,0.9915343915343916,0.9777777766424512,0.9846645367412141
Cephalophus_jentinki,0.9854545458157858,0.5294871805570065,0.5559566792813448
Cephalophus_natalensis,0.7285714255234638,0.8220779228520083,0.4690647481585578
Cephalophus_niger,0.4064102578048523,0.7051282073251712,0.5833935019906462
Cephalophus_nigrifrons,0.5706666673024495,0.2543046355691572,0.5963898919684147
Cephalophus_rufilatus,0.8344827580726009,0.8091428583008902,0.8300000001589456
Cephalophus_silvicultor,0.8605263145346391,0.6065359468358793,0.5116788321167883
Cephalophus_zebra,0.9965116279069768,0.7363057318671493,0.989169675262396
Ceratotherium_simum,0.8926315765631827,0.8957345978908628,0.9791666666666669
Cervus_elaphus,0.8327586206896553,0.9121003134895892,0.9901402278389458
Cervus_nippon,0.4269230784514012,0.6024390243902439,0.9548611111111109
Connochaetes_gnou,0.5435897424626044,0.4346153850356738,0.7345323745295299
Connochaetes_taurinus,0.8696035243341053,0.8785714285714287,0.9843023255813954
