band	mean	std_dev
1	81.41741	148.17856
2	185.6393	96.60498
3	-25.222265	203.98572
4	709.2351	686.584
5	117.30853	112.190384
6	21.096207	31.711378
7	60.320652	33.87027
8	310.6308	298.3216
9	74.11459	105.37717
10	210.19438	188.69424
11	129.34639	207.64333
12	110.88932	31.340961
13	38.191006	20.665724
14	8282.274	5200.292
15	257.45224	103.29956
16	-90.04244	199.87587
17	347.49506	138.08423
18	152.32172	105.74995
19	23.702747	204.95192
20	3.0967336	1.8106824
21	124.005104	24.484457
22	17.924522	10.943581
23	1040.2051	612.10175
24	55.522884	26.388628
25	-0.23930898	0.48568743
26	23.380983	14.39216
27	122.20448	203.25853
28	50267.26	44785.246
29	48078.023	45903.12
30	17.203285	216.58635
31	138.6945	83.65083
32	6.5496173	4.7109776
33	46.281967	51.66557
34	46.281967	51.66557
35	72.630394	68.70972
36	3953.8137	1743.4763
37	136.9285	51.058426
38	109.02379	51.489693
39	158.43674	395.60336
40	371.3911	691.23444
41	59.151966	12.111473
42	0.014850317	0.02380007
43	0.014850317	0.02380007
44	19318854.0	25448336.0
45	19655294.0	25675182.0
46	19848934.0	25780100.0
47	19335996.0	24870278.0
48	18923044.0	24215484.0
49	18787426.0	23771474.0
50	18659970.0	23488042.0
51	18686840.0	23454390.0
52	19213710.0	23796456.0
53	19593000.0	24449144.0
54	20045278.0	25312440.0
55	21296204.0	27560778.0
56	24393006.0	35514636.0
57	67.525475	39.03805
58	65.50793	36.79811
59	64.08591	36.13914
60	65.38521	39.616173
61	64.48932	37.72017
62	64.03836	35.79012
63	63.65865	34.48632
64	63.208084	34.982784
65	63.064163	34.890446
66	64.51179	35.638134
67	65.77063	37.284924
68	69.15409	39.240334
69	75.747894	46.340717
70	221418.22	292808.1
71	228036.64	285638.12
72	229399.58	277908.7
73	219270.03	265394.28
74	217126.31	263689.66
75	217165.17	262794.9
76	217521.25	263556.53
77	218457.0	263722.28
78	226097.06	270307.9
79	224309.02	265536.38
80	223300.52	262073.3
81	222355.89	258924.52
82	220842.97	255564.55
83	0.7333734	1.1707435
84	0.7188954	1.2119668
85	0.6705963	1.1775899
86	0.66154045	1.1193438
87	0.66520995	1.0642997
88	0.67646	1.038983
89	0.686343	1.0345094
90	0.6978935	1.048877
91	0.7126421	1.0506498
92	0.6454717	0.94765735
