gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	occurrenceStatus	preparations	disposition	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOccurrences	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	sampleSizeValue	sampleSizeUnit	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceVerificationStatus	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	genericName	acceptedScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated
2234879358																																				CC_BY_4_0																							naturgucker	naturgucker			HUMAN_OBSERVATION					732153168		605694170																												2016-09-10T00:00:00Z				2016	9	10																KE				Samburu, Kenya								0.57128	37.608948	250.0																																																Aepyceros melampus (Lichtenstein, 1812)								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros		melampus		SPECIES				ACCEPTED			6ac3f774-d9fb-4796-b3e9-92bf6c81c084	DE	2019-04-05T04:05:52.126Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	2441144	2441144	1	44	359	731	9614	2441143		2441144	Aepyceros melampus	Aepyceros	Aepyceros melampus (Lichtenstein, 1812)		BIOCASE	2019-04-05T04:05:52.120Z	2019-04-05T04:05:52.068Z	false
2234813938																										21709432										CC_BY_NC_4_0			2019-03-29T10:32:30Z			https://www.inaturalist.org/observations/21709432				© jurga_li some rights reserved	jurga_li												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION	Coordinate uncertainty increased to 30598m to protect threatened taxon			https://www.inaturalist.org/observations/21709432	21709432		jurga_li																												2019-03-18T18:15:00Z	15:15:00Z			2019	3	18	2019/03/18 6:15 PM +03															NA	Oshikoto				Etosha National Park, NA							-19.092462	15.810348	30598.0																																48512408				2019-03-28T19:34:41Z				120012								Aepyceros melampus petersi Bocage, 1879								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros		melampus	petersi	SUBSPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-04-04T15:15:41.674Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	4262729	4262729	1	44	359	731	9614	2441143		2441144	Aepyceros melampus	Aepyceros	Aepyceros melampus petersi Bocage, 1879		DWC_ARCHIVE	2019-04-04T15:15:02.295Z	2019-04-04T15:15:02.139Z	false
2234801365																										21667301										CC_BY_NC_4_0			2019-03-28T21:31:38Z			https://www.inaturalist.org/observations/21667301				© Herman Berteler some rights reserved	Herman Berteler												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/21667301	21667301		Herman Berteler																												2019-02-08T12:12:00Z	11:12:00Z			2019	2	8	2019/02/08 12:12 PM CET															ZA	KwaZulu-Natal				Sanlameer, Southbroom, Zuid-Afrika							-30.940266	30.295463	244.0																																48477134				2019-03-28T08:38:52Z				147920								Aepyceros melampus melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros		melampus	melampus	SUBSPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-04-04T15:15:30.100Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	7261451	7261451	1	44	359	731	9614	2441143		2441144	Aepyceros melampus	Aepyceros	Aepyceros melampus melampus		DWC_ARCHIVE	2019-04-04T15:14:56.139Z	2019-04-04T15:14:56.043Z	false
2234783658																										21605707										CC_BY_NC_4_0			2019-03-26T10:26:00Z			https://www.inaturalist.org/observations/21605707				© mikkel65 some rights reserved	mikkel65												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/21605707	21605707		mikkel65																												2005-12-26T08:46:00Z	07:46:00Z			2005	12	26	2005/12/26 8:46 AM CET															TZ	Manyara				Lake Manyara, Tanzania							-3.619059	35.806178	29936.0																																48271560				2019-03-25T19:24:50Z				42278								Aepyceros melampus (Lichtenstein, 1812)								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros		melampus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-04-04T15:15:12.450Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	2441144	2441144	1	44	359	731	9614	2441143		2441144	Aepyceros melampus	Aepyceros	Aepyceros melampus (Lichtenstein, 1812)		DWC_ARCHIVE	2019-04-04T15:14:46.775Z	2019-04-04T15:14:46.533Z	false
2234781428																										21605670										CC_BY_NC_4_0			2019-03-28T17:55:15Z			https://www.inaturalist.org/observations/21605670				© mikkel65 some rights reserved	mikkel65												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/21605670	21605670		mikkel65																												2005-12-26T08:43:00Z	07:43:00Z			2005	12	26	2005/12/26 8:43 AM CET															TZ	Manyara				Lake Manyara, Tanzania							-3.619059	35.806178	32224.0																																48505578				2019-03-28T17:55:15Z				42278								Aepyceros melampus (Lichtenstein, 1812)								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros		melampus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-04-04T15:15:08.994Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	2441144	2441144	1	44	359	731	9614	2441143		2441144	Aepyceros melampus	Aepyceros	Aepyceros melampus (Lichtenstein, 1812)		DWC_ARCHIVE	2019-04-04T15:14:45.614Z	2019-04-04T15:14:45.579Z	false
2234759978																										21531633										CC_BY_NC_4_0			2019-03-27T19:57:39Z			https://www.inaturalist.org/observations/21531633				© mikkel65 some rights reserved	mikkel65												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/21531633	21531633		mikkel65																												2005-12-23T12:37:00Z	11:37:00Z			2005	12	23	2005/12/23 12:37 PM CET															TZ	Mara				Tanzania							-2.333333	34.833333	159489.0																																48433098				2019-03-27T19:57:38Z				42278								Aepyceros melampus (Lichtenstein, 1812)								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros		melampus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-04-04T15:14:46.405Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	2441144	2441144	1	44	359	731	9614	2441143		2441144	Aepyceros melampus	Aepyceros	Aepyceros melampus (Lichtenstein, 1812)		DWC_ARCHIVE	2019-04-04T15:14:34.939Z	2019-04-04T15:14:34.801Z	false
2234759553																										21532103										CC_BY_NC_4_0			2019-03-25T13:46:58Z			https://www.inaturalist.org/observations/21532103				© mikkel65 some rights reserved	mikkel65												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/21532103	21532103		mikkel65																												2005-12-23T12:54:00Z	11:54:00Z			2005	12	23	2005/12/23 12:54 PM CET															TZ	Mara				Tanzania							-2.333333	34.833333	157048.0																																48104904				2019-03-23T22:38:44Z				42278								Aepyceros melampus (Lichtenstein, 1812)								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros		melampus		SPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-04-04T15:14:44.621Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	2441144	2441144	1	44	359	731	9614	2441143		2441144	Aepyceros melampus	Aepyceros	Aepyceros melampus (Lichtenstein, 1812)		DWC_ARCHIVE	2019-04-04T15:14:34.767Z	2019-04-04T15:14:34.640Z	false
2234748246																										21492187										CC_BY_NC_4_0			2019-03-25T20:56:52Z			https://www.inaturalist.org/observations/21492187				© Shirley Hitschmann some rights reserved	Shirley Hitschmann												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/21492187	21492187		Shirley Hitschmann																												2018-07-28T07:11:00Z	06:11:00Z			2018	7	28	2018/07/28 7:11 AM CAT															ZW	Masvingo				Chipinge, Zimbabwe							-20.161501	32.15154	10222.0																																48022342				2019-03-22T20:10:24Z				147920								Aepyceros melampus melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros		melampus	melampus	SUBSPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-04-04T15:14:31.961Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	7261451	7261451	1	44	359	731	9614	2441143		2441144	Aepyceros melampus	Aepyceros	Aepyceros melampus melampus		DWC_ARCHIVE	2019-04-04T15:14:29.036Z	2019-04-04T15:14:28.796Z	false
2234748085																										21492179										CC_BY_NC_4_0			2019-03-25T20:57:20Z			https://www.inaturalist.org/observations/21492179				© Shirley Hitschmann some rights reserved	Shirley Hitschmann												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/21492179	21492179		Shirley Hitschmann																												2018-07-28T15:19:00Z	14:19:00Z			2018	7	28	2018/07/28 3:19 PM CAT															ZW	Masvingo				Chipinge, Zimbabwe							-20.448556	32.243369	186.0																																48022329				2019-03-22T20:10:16Z				147920								Aepyceros melampus melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros		melampus	melampus	SUBSPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-04-04T15:14:33.416Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED	STILLIMAGE	true	false	7261451	7261451	1	44	359	731	9614	2441143		2441144	Aepyceros melampus	Aepyceros	Aepyceros melampus melampus		DWC_ARCHIVE	2019-04-04T15:14:28.933Z	2019-04-04T15:14:28.842Z	false
2234733309																										19424250										CC_BY_NC_4_0			2019-03-28T16:16:42Z			https://www.inaturalist.org/observations/19424250				© Scott Camazine some rights reserved	Scott Camazine												iNaturalist	Observations	iNaturalist research-grade observations		HUMAN_OBSERVATION				https://www.inaturalist.org/observations/19424250	19424250		Scott Camazine																Impala, photographed in Serengeti National Park, Tanzania, Africa												2010-01-14T06:03:00Z	11:03:00Z			2010	1	14	2010/01/14 6:03 AM EST															TZ	Arusha				Arusha, , Arusha, TZ							-3.556442	35.489365	173721.0																																42528467				2019-01-04T20:35:45Z				147920								Aepyceros melampus melampus								Animalia	Chordata	Mammalia	Artiodactyla	Bovidae	Aepyceros		melampus	melampus	SUBSPECIES				ACCEPTED			50c9509d-22c7-4a22-a47d-8c48425ef4a7	US	2019-04-04T15:11:30.688Z							GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED		true	false	7261451	7261451	1	44	359	731	9614	2441143		2441144	Aepyceros melampus	Aepyceros	Aepyceros melampus melampus		DWC_ARCHIVE	2019-04-04T15:11:30.653Z	2019-04-04T15:11:30.638Z	false
