,taxon_name,gbif_id,decimal_longitude,decimal_latitude,present/pseudo_absent
0,,1677288595,37.015908,1.2196870000000002,1
1,,1880533225,37.545062,0.657192,1
2,,1562869232,35.90555999999999,-2.718458,1
3,,1586196704,37.608948,0.57128,1
4,,1586196734,37.199364,-2.639218,1
5,,1913609866,37.41393,0.43044,1
6,,1913609867,37.65976,0.59823,1
7,,1913609875,37.625409999999995,0.57622,1
8,,1913609878,37.64213,0.60385,1
9,,1913609879,37.64285,0.58678,1
10,,1913609882,37.6527,0.59428,1
11,,1913609886,37.99678,0.72511,1
12,,1913609888,38.28013,0.60442,1
13,,1913609892,38.15477,0.6936399999999999,1
14,,1913609894,38.01205,0.66414,1
15,,1913609895,37.62527,0.5832,1
16,,1913609896,37.65266,0.59217,1
17,,1913609898,38.1748,0.7077399999999999,1
18,,1913609901,37.65187,0.57825,1
19,,1913609902,37.90382,0.60296,1
20,,1913609905,37.42852,0.51051,1
21,,1913609908,37.90415,0.6499,1
22,,1913609910,37.392379999999996,0.48833999999999994,1
23,,1913609911,37.65075,0.55519,1
24,,1913609912,38.07013,1.95511,1
25,,1913609913,37.940909999999995,0.52357,1
26,,1913609915,37.63462,0.5856399999999999,1
27,,1913609917,38.01132,0.69257,1
28,,1913609918,38.03174,0.73064,1
29,,1913609919,37.62539,0.5653600000000001,1
30,,1913609920,37.274190000000004,2.3833599999999997,1
31,,1913609924,37.32677,2.4277,1
32,,1913609925,37.67794,0.5593899999999999,1
33,,1913609929,38.75717,2.18878,1
34,,1913609930,37.97514,0.69411,1
35,,1913609931,37.89452,1.33596,1
36,,1913609932,38.08109,2.0636200000000002,1
37,,1913609936,37.97654,0.58308,1
38,,1913609937,37.867309999999996,0.65433,1
39,,1913609940,38.23509,2.00636,1
40,,1913609941,37.642509999999994,0.5788300000000001,1
41,,1913609942,37.59891,0.5796399999999999,1
42,,1913609944,37.63491,0.5801,1
43,,1913609947,38.48225,2.38505,1
44,,1913609948,37.65937,0.61052,1
45,,1913609950,37.44293,0.4878,1
46,,1913609952,37.588390000000004,0.57486,1
47,,1913609957,37.90372,0.52809,1
48,,1913609958,37.82377,1.15236,1
49,,1913609959,38.02074,0.7149800000000001,1
50,,1913609964,37.9355,0.5944699999999999,1
51,,1913609970,37.97579,0.71838,1
52,,1913609971,37.651959999999995,0.5814600000000001,1
53,,1913609973,37.66081,0.5786100000000001,1
54,,1913609974,37.77734,0.65751,1
55,,1913609975,37.74341,1.04249,1
