gbifID	type	format	identifier	references	title	description	created	creator	contributor	publisher	audience	source	license	rightsHolder
2234879358		text/html		https://naturgucker.net/?sprache=en&bild=-1379611513										
2234813938	StillImage	image/jpeg	https://static.inaturalist.org/photos/33617281/original.jpeg?1553801604	https://www.inaturalist.org/photos/33617281			2019-03-19T01:15:19Z	jurga_li		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	jurga_li
2234801365	StillImage	image/jpeg	https://static.inaturalist.org/photos/33547397/original.jpeg?1553703036	https://www.inaturalist.org/photos/33547397			2019-02-08T11:12:00Z	Herman Berteler		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Herman Berteler
2234783658	StillImage	image/jpeg	https://static.inaturalist.org/photos/33445457/original.jpeg?1553541865	https://www.inaturalist.org/photos/33445457			2005-12-26T16:46:57Z	mikkel65		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	mikkel65
2234781428	StillImage	image/jpeg	https://static.inaturalist.org/photos/33445404/original.jpeg?1553541794	https://www.inaturalist.org/photos/33445404			2005-12-26T16:43:32Z	mikkel65		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	mikkel65
2234759978	StillImage	image/jpeg	https://static.inaturalist.org/photos/33321681/original.jpeg?1553379979	https://www.inaturalist.org/photos/33321681			2005-12-23T20:37:25Z	mikkel65		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	mikkel65
2234759553	StillImage	image/jpeg	https://static.inaturalist.org/photos/33322509/original.jpeg?1553380713	https://www.inaturalist.org/photos/33322509			2005-12-23T20:54:46Z	mikkel65		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	mikkel65
2234759553	StillImage	image/jpeg	https://static.inaturalist.org/photos/33322561/original.jpeg?1553380758	https://www.inaturalist.org/photos/33322561			2005-12-23T20:55:22Z	mikkel65		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	mikkel65
2234748246	StillImage	image/jpeg	https://static.inaturalist.org/photos/33256315/original.jpeg?1553284762	https://www.inaturalist.org/photos/33256315			2018-07-28T14:11:56Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
2234748246	StillImage	image/jpeg	https://static.inaturalist.org/photos/33256342/original.jpeg?1553284791	https://www.inaturalist.org/photos/33256342			2018-07-28T14:11:56Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
2234748246	StillImage	image/jpeg	https://static.inaturalist.org/photos/33256466/original.jpeg?1553284897	https://www.inaturalist.org/photos/33256466			2018-07-28T14:13:42Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
2234748246	StillImage	image/jpeg	https://static.inaturalist.org/photos/33256503/original.jpeg?1553284929	https://www.inaturalist.org/photos/33256503			2018-07-28T14:13:42Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
2234748085	StillImage	image/jpeg	https://static.inaturalist.org/photos/33255829/original.jpeg?1553284187	https://www.inaturalist.org/photos/33255829			2018-07-28T22:19:34Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
2028488516	StillImage	image/jpeg	https://static.inaturalist.org/photos/33057452/original.jpg?1552951887	https://www.inaturalist.org/photos/33057452			2019-03-04T17:02:40Z	Mike Plagens		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Mike Plagens
2028462148	StillImage	image/jpeg	https://static.inaturalist.org/photos/32920997/original.jpeg?1552759032	https://www.inaturalist.org/photos/32920997			2018-11-14T20:51:41Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
2028462148	StillImage	image/jpeg	https://static.inaturalist.org/photos/32921006/original.jpeg?1552759042	https://www.inaturalist.org/photos/32921006			2018-11-14T20:51:17Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
2028462148	StillImage	image/jpeg	https://static.inaturalist.org/photos/32921012/original.jpeg?1552759050	https://www.inaturalist.org/photos/32921012			2018-11-14T20:52:03Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
2028462148	StillImage	image/jpeg	https://static.inaturalist.org/photos/32921014/original.jpeg?1552759052	https://www.inaturalist.org/photos/32921014			2018-11-14T20:49:40Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
2028462102	StillImage	image/jpeg	https://static.inaturalist.org/photos/32916669/original.jpeg?1552752566	https://www.inaturalist.org/photos/32916669			2018-11-14T16:29:44Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
2028462102	StillImage	image/jpeg	https://static.inaturalist.org/photos/32916675/original.jpeg?1552752572	https://www.inaturalist.org/photos/32916675			2018-11-14T16:27:35Z	Shirley Hitschmann		iNaturalist			http://creativecommons.org/licenses/by-nc/4.0/	Shirley Hitschmann
